,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.000974,1.517,-0.136512,0.99737,-0.026262,0.065659,0.015917,0.039106,1.453607,0.258694,0.919762,-0.367633,-0.131046,-0.041369,0.053741,1.402846,0.225851,0.841309,-0.522705,-0.136805,-0.016212,0.071322,1.346097,0.224966,0.757842,-0.626883,-0.175272,-0.044416,0.045544,1.436827,0.241848,0.91742,-0.368606,-0.14901,-0.016347,0.034799,1.469942,0.273845,0.919762,-0.367633,-0.131046,-0.041369,0.057324,1.464323,0.264734,0.902682,-0.380089,-0.189288,-0.069777,0.075879,1.406892,0.228384,0.837486,-0.518437,-0.166813,-0.044877,0.088227,1.347283,0.226362,0.757842,-0.626883,-0.175272,-0.044416,0.065747,1.445326,0.246083,0.912806,-0.367361,-0.176285,-0.027486,0.050618,1.483169,0.280277,0.902682,-0.380089,-0.189288,-0.069777,0.087244,1.360486,0.220064,0.757842,-0.626883,-0.175272,-0.044416,0.088499,1.40844,0.283489,0.839979,0.42729,-0.333265,0.028167,0.111254,1.392826,0.248178,0.892422,-0.356763,-0.25003,-0.117425,0.110403,1.348979,0.233428,0.760505,-0.55045,-0.193914,-0.284667,0.099968,1.414481,0.267496,0.941312,0.170736,-0.287068,-0.048717,0.075991,1.392913,0.293376,0.839979,0.42729,-0.333265,0.028167,0.072156,1.434228,0.283717,0.946372,0.195706,-0.256803,0.011507,0.094378,1.402203,0.237335,0.880695,-0.429007,-0.18536,-0.077272,0.10366,1.349154,0.227704,0.757842,-0.626883,-0.175272,-0.044416,0.084094,1.433202,0.259595,0.973258,-0.013987,-0.22805,-0.023787,0.060311,1.426433,0.303955,0.946372,0.195706,-0.256803,0.011507,0.043873,1.384455,0.277113,0.678586,-0.032612,0.445528,0.583063,0.061982,1.342608,0.232545,0.503456,-0.422363,0.061398,0.751247,0.043107,1.359663,0.253493,0.665735,-0.276807,0.280305,0.633722,0.05709,1.399356,0.292148,0.678586,-0.032612,0.445528,0.583063,11,0.098609,1.314079,0.211744,0.757842,-0.626883,-0.175272,-0.044416,12,R,Static,Right
1,2,0.001039,1.517097,-0.136323,0.997403,-0.026378,0.065276,0.015176,0.038362,1.453285,0.258701,0.920818,-0.365209,-0.130939,-0.039653,0.053123,1.402699,0.225661,0.842211,-0.521232,-0.137047,-0.014681,0.070827,1.345987,0.22485,0.757489,-0.627268,-0.17571,-0.043259,0.044837,1.436604,0.24177,0.918392,-0.366266,-0.148958,-0.014697,0.034017,1.46953,0.273937,0.920818,-0.365209,-0.130939,-0.039653,0.056561,1.464192,0.264504,0.90277,-0.38003,-0.189524,-0.068291,0.075253,1.406796,0.228172,0.837445,-0.518478,-0.167263,-0.04346,0.087731,1.347211,0.226231,0.757489,-0.627268,-0.17571,-0.043259,0.065025,1.445212,0.245854,0.912839,-0.367288,-0.176493,-0.02599,0.049811,1.483025,0.280043,0.90277,-0.38003,-0.189524,-0.068291,0.086712,1.360402,0.219912,0.757489,-0.627268,-0.17571,-0.043259,0.08793,1.408593,0.283239,0.841483,0.424709,-0.332719,0.028756,0.110672,1.392834,0.247962,0.89187,-0.358456,-0.250075,-0.116358,0.109905,1.348964,0.233277,0.760471,-0.550901,-0.194446,-0.283519,0.09938,1.414555,0.267203,0.941906,0.168322,-0.286676,-0.047936,0.075429,1.393131,0.293235,0.841483,0.424709,-0.332719,0.028756,0.071508,1.434294,0.28342,0.946832,0.193989,-0.256355,0.012653,0.093769,1.402159,0.237117,0.880215,-0.430086,-0.185664,-0.076006,0.103157,1.349116,0.227557,0.757489,-0.627268,-0.17571,-0.043259,0.083434,1.433201,0.259295,0.973316,-0.015564,-0.227825,-0.022568,0.059686,1.426563,0.303696,0.946832,0.193989,-0.256355,0.012653,0.043392,1.384357,0.27698,0.677731,-0.032723,0.446603,0.583229,0.061502,1.34249,0.232445,0.502356,-0.422306,0.061755,0.751986,0.042616,1.359533,0.253393,0.664834,-0.276829,0.281147,0.634286,0.056622,1.399294,0.291967,0.677731,-0.032723,0.446603,0.583229,21,0.09817,1.314007,0.211652,0.757489,-0.627268,-0.17571,-0.043259,12,R,Static,Right
2,3,0.00108,1.517187,-0.136097,0.99741,-0.026427,0.065398,0.014049,0.037629,1.452953,0.258719,0.921923,-0.362627,-0.130848,-0.037927,0.052517,1.402554,0.225467,0.843172,-0.519647,-0.137314,-0.013152,0.070344,1.34588,0.224735,0.75712,-0.62766,-0.176172,-0.042135,0.044141,1.43638,0.241698,0.919416,-0.363766,-0.148927,-0.01304,0.033243,1.469103,0.274044,0.921923,-0.362627,-0.130848,-0.037927,0.055809,1.464067,0.264264,0.902831,-0.380009,-0.189802,-0.066823,0.074641,1.406702,0.227958,0.837363,-0.51857,-0.167748,-0.04207,0.087247,1.347142,0.226102,0.75712,-0.62766,-0.176172,-0.042135,0.064316,1.445102,0.245618,0.912841,-0.367265,-0.17674,-0.024513,0.049015,1.482888,0.279798,0.902831,-0.380009,-0.189802,-0.066823,0.086192,1.360319,0.219761,0.75712,-0.62766,-0.176172,-0.042135,0.087374,1.408772,0.282983,0.843104,0.421815,-0.332251,0.029293,0.110101,1.392845,0.247747,0.891218,-0.36036,-0.250122,-0.115366,0.109417,1.348951,0.233128,0.760419,-0.55135,-0.195005,-0.282401,0.098809,1.414641,0.266901,0.942525,0.165608,-0.28634,-0.047231,0.074874,1.393384,0.293097,0.843104,0.421815,-0.332251,0.029293,0.070875,1.434406,0.283103,0.947416,0.191529,-0.255993,0.013685,0.093172,1.402117,0.236899,0.879609,-0.431393,-0.18599,-0.074808,0.102666,1.34908,0.227413,0.75712,-0.62766,-0.176172,-0.042135,0.08279,1.433213,0.258978,0.973345,-0.017721,-0.22765,-0.021462,0.059069,1.426776,0.303427,0.947416,0.191529,-0.255993,0.013685,0.042926,1.38426,0.27685,0.676868,-0.032821,0.44766,0.583416,0.061035,1.342376,0.232345,0.501268,-0.422222,0.062102,0.75273,0.04214,1.359406,0.253295,0.663937,-0.276818,0.281988,0.634856,0.056168,1.399233,0.29179,0.676868,-0.032821,0.44766,0.583416,33,0.097743,1.313937,0.211563,0.75712,-0.62766,-0.176172,-0.042135,12,R,Static,Right
3,4,0.001136,1.517235,-0.135868,0.997407,-0.026822,0.065466,0.01322,0.038111,1.453038,0.25788,0.921582,-0.363174,-0.13158,-0.038448,0.05303,1.402596,0.224707,0.842775,-0.520113,-0.137922,-0.013776,0.070839,1.345914,0.224188,0.755921,-0.628827,-0.177028,-0.042669,0.044644,1.436443,0.240888,0.919087,-0.364282,-0.149646,-0.013542,0.033709,1.469209,0.273179,0.921582,-0.363174,-0.13158,-0.038448,0.056208,1.464138,0.263453,0.902327,-0.38066,-0.190858,-0.066913,0.075149,1.406746,0.227236,0.837061,-0.518707,-0.168786,-0.042239,0.087739,1.347175,0.225592,0.755921,-0.628827,-0.177028,-0.042669,0.064761,1.445149,0.244854,0.912387,-0.367884,-0.177782,-0.024588,0.049375,1.482983,0.278942,0.902327,-0.38066,-0.190858,-0.066913,0.086708,1.360335,0.219212,0.755921,-0.628827,-0.177028,-0.042669,0.087745,1.408994,0.282287,0.843649,0.419897,-0.333208,0.030261,0.110561,1.392943,0.24715,0.890356,-0.361603,-0.251419,-0.115315,0.109899,1.349003,0.232668,0.759289,-0.552249,-0.196253,-0.282818,0.099217,1.414798,0.266208,0.942519,0.163768,-0.287519,-0.046593,0.075216,1.393656,0.292439,0.843649,0.419897,-0.333208,0.030261,0.071211,1.434252,0.282415,0.946141,0.19668,-0.256709,0.01533,0.093658,1.402186,0.236234,0.879604,-0.430893,-0.1872,-0.074723,0.103161,1.349116,0.226937,0.755921,-0.628827,-0.177028,-0.042669,0.083187,1.433252,0.258311,0.973168,-0.014305,-0.228755,-0.020268,0.059397,1.426366,0.302637,0.946141,0.19668,-0.256709,0.01533,0.043259,1.384535,0.276021,0.677963,-0.034865,0.448099,0.581685,0.061507,1.342434,0.231781,0.500706,-0.424843,0.062991,0.751555,0.042542,1.359574,0.252578,0.664118,-0.279445,0.282276,0.633387,0.056485,1.399555,0.290929,0.677963,-0.034865,0.448099,0.581685,44,0.098266,1.313925,0.211187,0.755921,-0.628827,-0.177028,-0.042669,12,R,Static,Right
4,5,0.001213,1.517233,-0.135605,0.997395,-0.027068,0.065542,0.013243,0.037697,1.452674,0.25976,0.923674,-0.358083,-0.130767,-0.03876,0.052588,1.402616,0.225997,0.84582,-0.515296,-0.137342,-0.014001,0.070428,1.34595,0.22501,0.758524,-0.625746,-0.176741,-0.042957,0.044212,1.436273,0.242574,0.921221,-0.359116,-0.148976,-0.013944,0.033311,1.468674,0.275243,0.923674,-0.358083,-0.130767,-0.03876,0.055753,1.463839,0.265253,0.903746,-0.377466,-0.190337,-0.067346,0.074707,1.406757,0.228544,0.839389,-0.515015,-0.168481,-0.04243,0.087328,1.347209,0.226412,0.758524,-0.625746,-0.176741,-0.042957,0.064302,1.444997,0.246502,0.91386,-0.364348,-0.17745,-0.024941,0.048928,1.482572,0.280879,0.903746,-0.377466,-0.190337,-0.067346,0.086283,1.360418,0.220137,0.758524,-0.625746,-0.176741,-0.042957,0.087304,1.408381,0.283607,0.840473,0.426722,-0.332591,0.02996,0.11014,1.392812,0.24832,0.892405,-0.356722,-0.25104,-0.115506,0.109491,1.34899,0.233484,0.761653,-0.549238,-0.194978,-0.283209,0.098755,1.414442,0.267608,0.941489,0.170557,-0.286942,-0.046621,0.074844,1.39284,0.293532,0.840473,0.426722,-0.332591,0.02996,0.070758,1.433572,0.284018,0.944566,0.204829,-0.25614,0.015257,0.093225,1.402134,0.237491,0.881943,-0.426241,-0.186809,-0.074814,0.102748,1.349146,0.227759,0.758524,-0.625746,-0.176741,-0.042957,0.082722,1.432955,0.259895,0.973351,-0.007017,-0.228319,-0.02022,0.058991,1.425311,0.304116,0.944566,0.204829,-0.25614,0.015257,0.04294,1.384186,0.27713,0.678144,-0.031164,0.447008,0.582523,0.061104,1.342405,0.232584,0.502218,-0.422942,0.060387,0.751832,0.042146,1.359396,0.253508,0.665313,-0.276283,0.280776,0.634186,0.056241,1.39907,0.292107,0.678144,-0.031164,0.447008,0.582523,55,0.09786,1.31408,0.21173,0.758524,-0.625746,-0.176741,-0.042957,12,R,Static,Right
5,6,0.001294,1.517257,-0.135384,0.997417,-0.026578,0.065339,0.013536,0.037271,1.452305,0.2615,0.925656,-0.353188,-0.130008,-0.038962,0.052144,1.402622,0.227178,0.848698,-0.510678,-0.136819,-0.01413,0.07002,1.345976,0.225766,0.760889,-0.622917,-0.176524,-0.043163,0.043771,1.436092,0.24413,0.923238,-0.354146,-0.148353,-0.014233,0.032899,1.468138,0.277157,0.925656,-0.353188,-0.130008,-0.038962,0.055289,1.463555,0.26689,0.904995,-0.374626,-0.189892,-0.067678,0.074261,1.406758,0.22974,0.841479,-0.511661,-0.168246,-0.04254,0.08692,1.347236,0.227165,0.760889,-0.622917,-0.176524,-0.043163,0.063836,1.444846,0.248005,0.915166,-0.361172,-0.177177,-0.025198,0.048468,1.482187,0.282638,0.904995,-0.374626,-0.189892,-0.067678,0.085861,1.360489,0.220986,0.760889,-0.622917,-0.176524,-0.043163,0.086859,1.407806,0.284807,0.837419,0.433165,-0.331977,0.029816,0.109717,1.39269,0.24939,0.894269,-0.352213,-0.250733,-0.115597,0.109084,1.348978,0.234234,0.763816,-0.546472,-0.193854,-0.283504,0.098289,1.414109,0.268887,0.940479,0.176938,-0.286407,-0.046518,0.074469,1.392074,0.294515,0.837419,0.433165,-0.331977,0.029816,0.070301,1.432949,0.285472,0.943103,0.212102,-0.255613,0.015245,0.092788,1.40208,0.238641,0.884027,-0.422041,-0.186486,-0.074836,0.102338,1.349171,0.228514,0.760889,-0.622917,-0.176524,-0.043163,0.082253,1.432677,0.261336,0.973471,-0.000478,-0.227926,-0.020115,0.058577,1.424354,0.305455,0.943103,0.212102,-0.255613,0.015245,0.042625,1.383857,0.278146,0.678251,-0.027671,0.446131,0.583247,0.060705,1.342371,0.233323,0.503544,-0.421179,0.058017,0.752121,0.041753,1.359224,0.254363,0.666371,-0.2733,0.279511,0.634926,0.056002,1.398615,0.29318,0.678251,-0.027671,0.446131,0.583247,66,0.09746,1.314221,0.212231,0.760889,-0.622917,-0.176524,-0.043163,12,R,Static,Right
6,7,0.001385,1.517219,-0.135201,0.99744,-0.025727,0.065291,0.01376,0.037632,1.452704,0.260838,0.924938,-0.354402,-0.131254,-0.040752,0.052488,1.402892,0.2267,0.847731,-0.511998,-0.137664,-0.016119,0.070171,1.346179,0.225576,0.759168,-0.624703,-0.177096,-0.045251,0.04415,1.436433,0.24353,0.922529,-0.355409,-0.149566,-0.015998,0.033247,1.468587,0.276442,0.924938,-0.354402,-0.131254,-0.040752,0.055671,1.463983,0.266178,0.90344,-0.377378,-0.19116,-0.069572,0.074608,1.406967,0.229332,0.840152,-0.513365,-0.169177,-0.044499,0.087068,1.347388,0.227041,0.759168,-0.624703,-0.177096,-0.045251,0.064228,1.445154,0.247417,0.913894,-0.363632,-0.17843,-0.027071,0.048858,1.482729,0.281794,0.90344,-0.377378,-0.19116,-0.069572,0.086091,1.360626,0.220816,0.759168,-0.624703,-0.177096,-0.045251,0.087002,1.408188,0.284436,0.837345,0.431542,-0.334249,0.030058,0.10994,1.392867,0.249179,0.892845,-0.354295,-0.252065,-0.117332,0.109225,1.349094,0.234203,0.761831,-0.547821,-0.195057,-0.28541,0.098514,1.414408,0.268543,0.940097,0.17517,-0.288645,-0.047089,0.074529,1.392514,0.294134,0.837345,0.431542,-0.334249,0.030058,0.0705,1.433334,0.284963,0.942843,0.21074,-0.257709,0.014891,0.093085,1.402267,0.238324,0.882846,-0.423634,-0.187757,-0.076581,0.102502,1.349286,0.228456,0.759168,-0.624703,-0.177096,-0.045251,0.082546,1.432969,0.260876,0.972991,-0.00201,-0.229875,-0.021008,0.058677,1.424811,0.304918,0.942843,0.21074,-0.257709,0.014891,0.042559,1.384387,0.277601,0.680452,-0.030451,0.445486,0.581035,0.060803,1.34263,0.233092,0.503833,-0.424652,0.058887,0.749904,0.04177,1.359642,0.253932,0.667501,-0.276557,0.279282,0.632424,0.055887,1.399178,0.292646,0.680452,-0.030451,0.445486,0.581035,77,0.097575,1.314284,0.2123,0.759168,-0.624703,-0.177096,-0.045251,12,R,Static,Right
7,8,0.001454,1.517173,-0.135059,0.997472,-0.024752,0.065209,0.013626,0.037581,1.452572,0.261066,0.925494,-0.353416,-0.130019,-0.040654,0.052337,1.40284,0.226768,0.848529,-0.510988,-0.13653,-0.01581,0.069988,1.346118,0.225574,0.759511,-0.624583,-0.176148,-0.044844,0.044051,1.436342,0.243702,0.92315,-0.3543,-0.148368,-0.015904,0.033239,1.46842,0.276716,0.925494,-0.353416,-0.130019,-0.040654,0.055594,1.463842,0.26637,0.903729,-0.377265,-0.19009,-0.069367,0.074465,1.406903,0.229357,0.841031,-0.512266,-0.168281,-0.043967,0.086889,1.347318,0.227006,0.759511,-0.624583,-0.176148,-0.044844,0.064109,1.445037,0.247566,0.914321,-0.363068,-0.177423,-0.02683,0.048821,1.482582,0.28201,0.903729,-0.377265,-0.19009,-0.069367,0.085908,1.36056,0.220791,0.759511,-0.624583,-0.176148,-0.044844,0.086976,1.408116,0.28442,0.837766,0.431317,-0.333548,0.02933,0.109831,1.392774,0.249123,0.893009,-0.354635,-0.251033,-0.117265,0.109063,1.34901,0.234124,0.762112,-0.547952,-0.194059,-0.285087,0.09846,1.414329,0.268504,0.940373,0.175029,-0.287758,-0.04754,0.074511,1.392455,0.294149,0.837766,0.431317,-0.333548,0.02933,0.070445,1.432995,0.285082,0.942103,0.215388,-0.256551,0.01522,0.092958,1.402189,0.238309,0.883674,-0.422385,-0.186865,-0.076106,0.102328,1.349208,0.228392,0.759511,-0.624583,-0.176148,-0.044844,0.082445,1.432819,0.26097,0.973239,0.001474,-0.228869,-0.020574,0.058688,1.424253,0.304982,0.942103,0.215388,-0.256551,0.01522,0.0425,1.384331,0.277648,0.680318,-0.029617,0.446113,0.580753,0.060632,1.342569,0.233105,0.504055,-0.42403,0.059357,0.75007,0.041642,1.35959,0.253976,0.667566,-0.275772,0.279999,0.632382,0.055872,1.399106,0.292669,0.680318,-0.029617,0.446113,0.580753,88,0.09735,1.314217,0.212226,0.759511,-0.624583,-0.176148,-0.044844,12,R,Static,Right
8,9,0.001546,1.5171,-0.134918,0.997513,-0.023866,0.064856,0.013874,0.037498,1.452431,0.261297,0.926053,-0.352391,-0.128862,-0.040514,0.052165,1.402785,0.226838,0.849337,-0.509933,-0.135482,-0.015474,0.069793,1.346057,0.225578,0.759843,-0.62445,-0.175293,-0.044424,0.043925,1.436245,0.243876,0.923774,-0.353146,-0.147249,-0.01577,0.033196,1.468244,0.276995,0.926053,-0.352391,-0.128862,-0.040514,0.055479,1.463693,0.26657,0.904025,-0.377095,-0.189109,-0.069108,0.074299,1.406838,0.229386,0.841925,-0.511105,-0.167485,-0.043394,0.086697,1.34725,0.226978,0.759843,-0.62445,-0.175293,-0.044424,0.063959,1.444916,0.247723,0.914754,-0.362446,-0.176506,-0.026532,0.048742,1.482426,0.282234,0.904025,-0.377095,-0.189109,-0.069108,0.085709,1.360496,0.220774,0.759843,-0.62445,-0.175293,-0.044424,0.086921,1.408054,0.284409,0.838234,0.430965,-0.332884,0.028675,0.109698,1.392687,0.249077,0.893135,-0.355024,-0.250085,-0.11716,0.108886,1.348931,0.234055,0.762398,-0.548052,-0.19315,-0.284747,0.098379,1.414258,0.26847,0.940652,0.174788,-0.286926,-0.047925,0.074464,1.392408,0.294172,0.838234,0.430965,-0.332884,0.028675,0.070357,1.432652,0.285204,0.941302,0.220136,-0.255433,0.015644,0.092808,1.402113,0.2383,0.884493,-0.421116,-0.186065,-0.075593,0.10214,1.349134,0.228336,0.759843,-0.62445,-0.175293,-0.044424,0.082315,1.432669,0.26107,0.973459,0.005028,-0.227927,-0.020061,0.058666,1.423686,0.305042,0.941302,0.220136,-0.255433,0.015644,0.042429,1.384269,0.277703,0.680137,-0.028771,0.446747,0.58052,0.06045,1.342507,0.233124,0.504239,-0.42338,0.0598,0.750278,0.041501,1.359534,0.254028,0.667598,-0.274951,0.280726,0.632383,0.055844,1.39903,0.2927,0.680137,-0.028771,0.446747,0.58052,99,0.097119,1.314154,0.212161,0.759843,-0.62445,-0.175293,-0.044424,12,R,Static,Right
9,10,0.001626,1.517015,-0.134708,0.997523,-0.023735,0.06464,0.014381,0.038218,1.452494,0.261738,0.926318,-0.3516,-0.128562,-0.04225,0.052751,1.402876,0.227178,0.849855,-0.509161,-0.134936,-0.01713,0.070176,1.346087,0.225794,0.760394,-0.623909,-0.174391,-0.046117,0.044605,1.436322,0.244289,0.924049,-0.352456,-0.14697,-0.017531,0.033957,1.468287,0.277466,0.926318,-0.3516,-0.128562,-0.04225,0.056234,1.463661,0.267078,0.90433,-0.376243,-0.188678,-0.070913,0.074898,1.406847,0.229748,0.842546,-0.510139,-0.166864,-0.045076,0.087081,1.347218,0.22721,0.760394,-0.623909,-0.174391,-0.046117,0.064665,1.444903,0.248189,0.915109,-0.361584,-0.176154,-0.028335,0.049549,1.482376,0.282786,0.90433,-0.376243,-0.188678,-0.070913,0.086152,1.360485,0.221042,0.760394,-0.623909,-0.174391,-0.046117,0.087506,1.407952,0.284777,0.838109,0.430463,-0.334011,0.026698,0.110235,1.39253,0.249429,0.893078,-0.354891,-0.249476,-0.119269,0.109281,1.34881,0.234312,0.762445,-0.547468,-0.192118,-0.28644,0.098997,1.41412,0.268847,0.940408,0.17461,-0.287463,-0.050098,0.074973,1.392358,0.294526,0.838109,0.430463,-0.334011,0.026698,0.070976,1.43232,0.285672,0.939967,0.225326,-0.255878,0.014721,0.093384,1.402038,0.238663,0.885187,-0.419546,-0.185659,-0.077176,0.102539,1.349049,0.228589,0.760394,-0.623909,-0.174391,-0.046117,0.082952,1.432528,0.261549,0.973334,0.008948,-0.228231,-0.021237,0.059273,1.423131,0.305402,0.939967,0.225326,-0.255878,0.014721,0.042851,1.384333,0.277893,0.681813,-0.028022,0.445859,0.579272,0.060807,1.34255,0.233316,0.505924,-0.423946,0.059572,0.74884,0.04187,1.359626,0.25419,0.669334,-0.274666,0.280276,0.630869,0.056301,1.39902,0.292931,0.681813,-0.028022,0.445859,0.579272,110,0.097407,1.314122,0.212335,0.760394,-0.623909,-0.174391,-0.046117,12,R,Static,Right
