Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;53846;1;-0.013382;1.773679;-0.020592;0.957383;0.286442;0.000415;0.037005;0.043567;1.402242;0.370909;0.281760;-0.939300;-0.032774;-0.193010;0.048921;1.444808;0.367767;-0.893546;-0.399646;0.196484;-0.057037;0.072693;1.422849;0.313551;-0.967631;0.137914;0.184887;0.102409;0.036665;1.415261;0.391968;-0.251864;-0.949931;0.085442;-0.163999;0.052179;1.414136;0.352334;0.281760;-0.939300;-0.032774;-0.193010;0.060780;1.396358;0.372581;0.304386;-0.947816;-0.016121;-0.093454;0.071320;1.446048;0.375191;-0.868890;-0.469191;0.154686;0.031018;0.089548;1.421481;0.317674;-0.967631;0.137914;0.184887;0.102409;0.057795;1.409468;0.398429;-0.222910;-0.963335;0.124753;-0.082057;0.065624;1.410684;0.350903;0.304386;-0.947816;-0.016121;-0.093454;0.089154;1.431765;0.330040;-0.967631;0.137914;0.184887;0.102409;0.092768;1.391694;0.362180;0.390370;-0.901247;0.178986;-0.057696;0.109991;1.423507;0.376132;-0.768358;-0.583599;0.227119;0.132119;0.114780;1.415510;0.328762;-0.943978;0.063137;0.073606;0.315440;0.093642;1.396320;0.383139;-0.110235;-0.973866;0.198569;-0.001583;0.097819;1.406813;0.345294;0.390370;-0.901247;0.178986;-0.057696;2023/05/02 11:34:42.1772;0.076828;1.392051;0.365387;0.386778;-0.914010;0.098378;-0.072875;0.091175;1.436853;0.377421;-0.819777;-0.544516;0.162406;0.071358;0.107721;1.420370;0.325332;-0.967631;0.137914;0.184887;0.102409;0.076989;1.400990;0.392031;-0.159499;-0.974047;0.158930;-0.023083;0.082268;1.408649;0.346420;0.386778;-0.914010;0.098378;-0.072875;890466f8-4800-4136-9056-fb649b447e31;0.002954;1.436539;0.341771;-0.652203;0.485616;0.401659;-0.421282;0.061624;1.417287;0.309061;-0.718198;0.366441;0.348828;-0.477737;0.032357;1.423925;0.325844;-0.763656;0.399112;0.343348;-0.373700;-0.021257;1.445066;0.346146;-0.652203;0.485616;0.401659;-0.421282;13;0.106988;1.417482;0.284889;-0.967631;0.137914;0.184887;0.102409
NA;53847;2;-0.013616;1.773871;-0.020323;0.957773;0.285087;0.000803;0.037369;0.043559;1.401732;0.370612;0.280743;-0.939869;-0.031572;-0.191923;0.048981;1.444296;0.367407;-0.894068;-0.399115;0.195546;-0.055789;0.072617;1.422338;0.313128;-0.967793;0.137964;0.183797;0.102767;0.036742;1.414795;0.391672;-0.252826;-0.949901;0.085875;-0.162462;0.052142;1.413573;0.351990;0.280743;-0.939869;-0.031572;-0.191923;0.060793;1.395831;0.372209;0.304076;-0.948025;-0.015188;-0.092496;0.071396;1.445512;0.374785;-0.869092;-0.468996;0.153929;0.032057;0.089479;1.420948;0.317217;-0.967793;0.137964;0.183797;0.102767;0.057884;1.408951;0.398061;-0.223232;-0.963331;0.125037;-0.080793;0.065603;1.410138;0.350511;0.304076;-0.948025;-0.015188;-0.092496;0.089123;1.431225;0.329593;-0.967793;0.137964;0.183797;0.102767;0.092757;1.391136;0.361716;0.390003;-0.901275;0.179943;-0.056767;0.110048;1.422933;0.375639;-0.768446;-0.583472;0.226504;0.133218;0.114730;1.414945;0.328256;-0.943909;0.063358;0.072546;0.315848;0.093687;1.395759;0.382673;-0.110435;-0.973769;0.198940;-0.000341;0.097781;1.406246;0.344814;0.390003;-0.901275;0.179943;-0.056767;2023/05/02 11:34:42.1935;0.076824;1.391509;0.364959;0.386586;-0.914059;0.099341;-0.071967;0.091248;1.436296;0.376971;-0.819848;-0.544471;0.161719;0.072442;0.107669;1.419813;0.324842;-0.967793;0.137964;0.183797;0.102767;0.077058;1.400444;0.391603;-0.159627;-0.974003;0.159254;-0.021827;0.082235;1.408100;0.345977;0.386586;-0.914059;0.099341;-0.071967;890466f8-4800-4136-9056-fb649b447e31;0.002946;1.436126;0.341464;-0.653004;0.485390;0.400801;-0.421118;0.061533;1.416794;0.308653;-0.718910;0.366223;0.348072;-0.477383;0.032302;1.423473;0.325483;-0.764313;0.398911;0.342485;-0.373364;-0.021244;1.444688;0.345886;-0.653004;0.485390;0.400801;-0.421118;28;0.106849;1.416938;0.284400;-0.967793;0.137964;0.183797;0.102767
NA;53848;3;-0.014170;1.774139;-0.020001;0.958119;0.283890;0.001742;0.037581;0.042935;1.401536;0.370751;0.283861;-0.938638;-0.030861;-0.193465;0.048421;1.444094;0.367812;-0.892700;-0.401452;0.197185;-0.055146;0.072141;1.422392;0.313465;-0.967873;0.135389;0.184474;0.104220;0.036075;1.414472;0.391875;-0.249770;-0.950428;0.087282;-0.163350;0.051581;1.413498;0.352236;0.283861;-0.938638;-0.030861;-0.193465;0.060156;1.395602;0.372350;0.307370;-0.946819;-0.014720;-0.094031;0.070822;1.445233;0.375246;-0.867527;-0.471403;0.155295;0.032562;0.088990;1.420951;0.317584;-0.967873;0.135389;0.184474;0.104220;0.057196;1.408560;0.398278;-0.220024;-0.963848;0.126252;-0.081534;0.065042;1.410058;0.350768;0.307370;-0.946819;-0.014720;-0.094031;0.088624;1.431160;0.330016;-0.967873;0.135389;0.184474;0.104220;0.092130;1.390918;0.361914;0.393445;-0.899648;0.180312;-0.057633;0.109434;1.422585;0.376063;-0.766394;-0.585665;0.227404;0.133882;0.114207;1.414845;0.328648;-0.943732;0.060519;0.072683;0.316897;0.093014;1.395398;0.382905;-0.106885;-0.973984;0.199824;-0.000805;0.097223;1.406141;0.345135;0.393445;-0.899648;0.180312;-0.057633;2023/05/02 11:34:42.2093;0.076189;1.391281;0.365137;0.389211;-0.912802;0.099778;-0.073154;0.090653;1.435972;0.377426;-0.818131;-0.546619;0.162972;0.072869;0.107162;1.419744;0.325245;-0.967873;0.135389;0.184474;0.104220;0.076370;1.400065;0.391831;-0.156714;-0.974291;0.160290;-0.022488;0.081675;1.407968;0.346262;0.389211;-0.912802;0.099778;-0.073154;890466f8-4800-4136-9056-fb649b447e31;0.002447;1.436279;0.341667;-0.653682;0.486027;0.402227;-0.417962;0.061057;1.416894;0.308933;-0.720219;0.365514;0.349387;-0.474988;0.031813;1.423585;0.325735;-0.765233;0.398583;0.343866;-0.370550;-0.021732;1.444918;0.346001;-0.653682;0.486027;0.402227;-0.417962;45;0.106427;1.417088;0.284787;-0.967873;0.135389;0.184474;0.104220
NA;53849;4;-0.014351;1.774338;-0.019913;0.958190;0.283619;0.002079;0.037798;0.042979;1.401047;0.370495;0.283040;-0.939204;-0.031660;-0.191786;0.048351;1.443642;0.367492;-0.893066;-0.401413;0.195402;-0.055857;0.072004;1.422010;0.313090;-0.968258;0.135242;0.183489;0.102560;0.036150;1.414008;0.391614;-0.250622;-0.950517;0.085705;-0.162358;0.051547;1.412985;0.351928;0.283040;-0.939204;-0.031660;-0.191786;0.060237;1.395174;0.372028;0.306811;-0.947156;-0.015642;-0.092296;0.070767;1.444850;0.374871;-0.867865;-0.471425;0.153470;0.031856;0.088869;1.420622;0.317167;-0.968258;0.135242;0.183489;0.102560;0.057310;1.408146;0.397952;-0.220501;-0.964040;0.124537;-0.080598;0.065025;1.409611;0.350411;0.306811;-0.947156;-0.015642;-0.092296;0.088501;1.430832;0.329598;-0.968258;0.135242;0.183489;0.102560;0.092196;1.390585;0.361512;0.392561;-0.900298;0.179590;-0.055744;0.109450;1.422322;0.375593;-0.767057;-0.585620;0.225494;0.133509;0.114131;1.414596;0.328167;-0.944308;0.060807;0.071615;0.315367;0.093131;1.395089;0.382494;-0.107701;-0.974218;0.198242;0.000409;0.097190;1.405798;0.344693;0.392561;-0.900298;0.179590;-0.055744;2023/05/02 11:34:42.2251;0.076264;1.390910;0.364769;0.388862;-0.913186;0.099000;-0.071262;0.090632;1.435651;0.377002;-0.818557;-0.546625;0.161003;0.072415;0.107062;1.419472;0.324781;-0.968258;0.135242;0.183489;0.102560;0.076496;1.399707;0.391460;-0.157121;-0.974524;0.158623;-0.021341;0.081645;1.407601;0.345867;0.388862;-0.913186;0.099000;-0.071262;890466f8-4800-4136-9056-fb649b447e31;0.002351;1.435651;0.341509;-0.653628;0.484578;0.402096;-0.419850;0.060927;1.416475;0.308588;-0.719888;0.364303;0.349014;-0.476691;0.031706;1.423069;0.325469;-0.765245;0.397168;0.343299;-0.372563;-0.021844;1.444203;0.345922;-0.653628;0.484578;0.402096;-0.419850;60;0.106235;1.416814;0.284325;-0.968258;0.135242;0.183489;0.102560
NA;53850;5;-0.014683;1.774619;-0.019641;0.958350;0.282978;0.002486;0.038507;0.042234;1.400751;0.370379;0.285333;-0.938019;-0.033893;-0.193798;0.047451;1.443393;0.367587;-0.891532;-0.403628;0.197111;-0.058322;0.071453;1.422052;0.313225;-0.968247;0.132787;0.185934;0.101456;0.035242;1.413603;0.391512;-0.248227;-0.950731;0.084850;-0.165213;0.050853;1.412802;0.351910;0.285333;-0.938019;-0.033893;-0.193798;0.059496;1.394949;0.372005;0.308900;-0.946241;-0.018095;-0.094239;0.069826;1.444655;0.375081;-0.866664;-0.473359;0.154814;0.029278;0.088304;1.420714;0.317380;-0.968247;0.132787;0.185934;0.101456;0.056385;1.407818;0.397959;-0.218321;-0.964443;0.123469;-0.083311;0.064341;1.409493;0.350473;0.308900;-0.946241;-0.018095;-0.094239;0.087835;1.430877;0.329843;-0.968247;0.132787;0.185934;0.101456;0.091535;1.390517;0.361617;0.395169;-0.899603;0.176835;-0.057313;0.108588;1.422267;0.375909;-0.765631;-0.587774;0.226318;0.130810;0.113532;1.414741;0.328477;-0.944825;0.058079;0.073455;0.313907;0.092333;1.394949;0.382621;-0.105369;-0.974781;0.196707;-0.002202;0.096572;1.405822;0.344895;0.395169;-0.899603;0.176835;-0.057313;2023/05/02 11:34:42.2404;0.075569;1.390762;0.364838;0.390753;-0.912533;0.096458;-0.072738;0.089714;1.435521;0.377275;-0.817458;-0.548320;0.161974;0.069803;0.106462;1.419604;0.325075;-0.968247;0.132787;0.185934;0.101456;0.075635;1.399483;0.391554;-0.155289;-0.974974;0.157298;-0.023834;0.080985;1.407535;0.346018;0.390753;-0.912533;0.096458;-0.072738;890466f8-4800-4136-9056-fb649b447e31;0.001610;1.435284;0.341374;-0.652278;0.484001;0.405768;-0.419082;0.060420;1.416488;0.308653;-0.718751;0.363229;0.352363;-0.476762;0.031094;1.422889;0.325427;-0.764370;0.395869;0.346668;-0.372623;-0.022648;1.443722;0.345665;-0.652278;0.484001;0.405768;-0.419082;75;0.105845;1.417099;0.284605;-0.968247;0.132787;0.185934;0.101456
NA;53851;6;-0.014728;1.774639;-0.019583;0.958451;0.282672;0.002512;0.038237;0.041877;1.400603;0.370311;0.286616;-0.937382;-0.034986;-0.194789;0.047018;1.443266;0.367629;-0.890743;-0.404781;0.197958;-0.059512;0.071185;1.422064;0.313287;-0.968238;0.131604;0.187090;0.100960;0.034805;1.413396;0.391452;-0.246928;-0.950861;0.084440;-0.166612;0.050520;1.412716;0.351893;0.286616;-0.937382;-0.034986;-0.194789;0.059137;1.394834;0.371986;0.310020;-0.945756;-0.019270;-0.095198;0.069373;1.444552;0.375178;-0.866068;-0.474304;0.155483;0.028060;0.088028;1.420748;0.317479;-0.968238;0.131604;0.187090;0.100960;0.055937;1.407650;0.397955;-0.217221;-0.964639;0.122984;-0.084622;0.064011;1.409435;0.350499;0.310020;-0.945756;-0.019270;-0.095198;0.087512;1.430889;0.329957;-0.968238;0.131604;0.187090;0.100960;0.091215;1.390476;0.361660;0.396556;-0.899201;0.175500;-0.058133;0.108171;1.422228;0.376055;-0.764912;-0.588827;0.226760;0.129509;0.113239;1.414799;0.328621;-0.945059;0.056764;0.074321;0.313238;0.091945;1.394870;0.382674;-0.104171;-0.975050;0.195995;-0.003504;0.096277;1.405830;0.344989;0.396556;-0.899201;0.175500;-0.058133;2023/05/02 11:34:42.2552;0.075231;1.390681;0.364867;0.391690;-0.912199;0.095251;-0.073485;0.089271;1.435448;0.377402;-0.816927;-0.549118;0.162476;0.068562;0.106169;1.419657;0.325211;-0.968238;0.131604;0.187090;0.100960;0.075218;1.399366;0.391595;-0.154415;-0.975179;0.156697;-0.025050;0.080667;1.407494;0.346089;0.391690;-0.912199;0.095251;-0.073485;890466f8-4800-4136-9056-fb649b447e31;0.001250;1.435102;0.341305;-0.651589;0.483788;0.407556;-0.418664;0.060172;1.416486;0.308682;-0.718217;0.362692;0.353960;-0.476792;0.030797;1.422794;0.325405;-0.763935;0.395276;0.348299;-0.372622;-0.023037;1.443486;0.345532;-0.651589;0.483788;0.407556;-0.418664;90;0.105651;1.417226;0.284735;-0.968238;0.131604;0.187090;0.100960
NA;53852;7;-0.014752;1.774727;-0.019491;0.958500;0.282571;0.002562;0.037763;0.042792;1.399534;0.370077;0.288644;-0.937323;-0.032117;-0.192559;0.048056;1.442185;0.367573;-0.890453;-0.406765;0.196112;-0.056361;0.071906;1.421205;0.313005;-0.968880;0.129560;0.184346;0.102481;0.035886;1.412241;0.391326;-0.245004;-0.951846;0.085644;-0.163181;0.051365;1.411708;0.351667;0.288644;-0.937323;-0.032117;-0.192559;0.060075;1.393713;0.371568;0.312994;-0.944991;-0.017052;-0.093465;0.070450;1.443370;0.375023;-0.864937;-0.476689;0.153965;0.030775;0.088764;1.419820;0.317109;-0.968880;0.129560;0.184346;0.102481;0.057026;1.406363;0.397637;-0.214379;-0.965401;0.123953;-0.081723;0.064887;1.408441;0.350154;0.312994;-0.944991;-0.017052;-0.093465;0.088336;1.429895;0.329645;-0.968880;0.129560;0.184346;0.102481;0.092060;1.389294;0.361155;0.397670;-0.898348;0.178076;-0.055848;0.109190;1.420934;0.375598;-0.764016;-0.589836;0.225288;0.132734;0.114012;1.413741;0.328102;-0.944943;0.055129;0.071180;0.314606;0.092918;1.393595;0.382183;-0.102639;-0.974981;0.197176;-0.000269;0.097073;1.404695;0.344514;0.397670;-0.898348;0.178076;-0.055848;2023/05/02 11:34:42.2695;0.076105;1.389541;0.364387;0.393586;-0.911281;0.097760;-0.071412;0.090333;1.434199;0.377104;-0.815672;-0.551041;0.160987;0.071533;0.106939;1.418636;0.324752;-0.968880;0.129560;0.184346;0.102481;0.076251;1.398075;0.391163;-0.152111;-0.975450;0.157729;-0.021933;0.081490;1.406431;0.345664;0.393586;-0.911281;0.097760;-0.071412;890466f8-4800-4136-9056-fb649b447e31;0.002183;1.434420;0.341422;-0.654645;0.482229;0.405812;-0.417389;0.060855;1.415685;0.308420;-0.721038;0.360644;0.352431;-0.475219;0.031593;1.422050;0.325318;-0.766568;0.393387;0.346348;-0.371029;-0.022044;1.442897;0.345805;-0.654645;0.482229;0.405812;-0.417389;105;0.106223;1.416420;0.284267;-0.968880;0.129560;0.184346;0.102481
NA;53853;8;-0.014795;1.774910;-0.019308;0.958701;0.281951;0.002902;0.037260;0.044278;1.399779;0.368614;0.286241;-0.938265;-0.036118;-0.190842;0.049203;1.442466;0.365863;-0.891444;-0.405112;0.193867;-0.060230;0.073237;1.421306;0.311447;-0.968804;0.132053;0.185363;0.098090;0.037296;1.412558;0.389794;-0.247252;-0.951526;0.081315;-0.163870;0.052740;1.411892;0.350112;0.286241;-0.938265;-0.036118;-0.190842;0.061612;1.394111;0.370094;0.310763;-0.945778;-0.021056;-0.092126;0.071584;1.443876;0.373312;-0.866166;-0.475291;0.152095;0.026878;0.090105;1.420082;0.315566;-0.968804;0.132053;0.185363;0.098090;0.058462;1.406867;0.396099;-0.216474;-0.965356;0.119834;-0.082874;0.066305;1.408759;0.348598;0.310763;-0.945778;-0.021056;-0.092126;0.089593;1.430239;0.328031;-0.968804;0.132053;0.185363;0.098090;0.093638;1.389891;0.359767;0.395878;-0.899961;0.174064;-0.055249;0.110498;1.421749;0.374050;-0.766079;-0.588673;0.223634;0.128744;0.115395;1.414277;0.326604;-0.945967;0.057949;0.072611;0.310671;0.094441;1.394317;0.380772;-0.105276;-0.975477;0.193287;-0.001687;0.098549;1.405253;0.343060;0.395878;-0.899961;0.174064;-0.055249;2023/05/02 11:34:42.2833;0.077686;1.390066;0.362970;0.392264;-0.912356;0.093658;-0.070456;0.091537;1.434875;0.375461;-0.817410;-0.549476;0.159180;0.067666;0.108285;1.419094;0.323219;-0.968804;0.132053;0.185363;0.098090;0.077738;1.398717;0.389709;-0.154063;-0.975745;0.153759;-0.023322;0.082952;1.406932;0.344191;0.392264;-0.912356;0.093658;-0.070456;890466f8-4800-4136-9056-fb649b447e31;0.003469;1.434189;0.339866;-0.651539;0.482854;0.405952;-0.421371;0.062233;1.415665;0.306900;-0.718130;0.361932;0.351865;-0.479048;0.032932;1.421948;0.323762;-0.764385;0.393910;0.345740;-0.375521;-0.020818;1.442517;0.344206;-0.651539;0.482854;0.405952;-0.421371;118;0.107601;1.416602;0.282749;-0.968804;0.132053;0.185363;0.098090
NA;53854;9;-0.015213;1.775081;-0.019131;0.958785;0.281705;0.003190;0.036924;0.044363;1.400248;0.368400;0.284017;-0.939047;-0.033551;-0.190789;0.049520;1.442903;0.365501;-0.892423;-0.403184;0.194140;-0.057736;0.073386;1.421455;0.311124;-0.968441;0.134038;0.184656;0.100289;0.037489;1.413139;0.389547;-0.249414;-0.951007;0.083493;-0.162507;0.052862;1.412246;0.349840;0.284017;-0.939047;-0.033551;-0.190789;0.061684;1.394497;0.369846;0.309155;-0.946329;-0.018545;-0.092417;0.071916;1.444218;0.372922;-0.866799;-0.473734;0.152919;0.029162;0.090251;1.420155;0.315228;-0.968441;0.134038;0.184656;0.100289;0.058626;1.407338;0.395820;-0.218040;-0.964793;0.122115;-0.081978;0.066431;1.409056;0.348303;0.309155;-0.946329;-0.018545;-0.092417;0.089805;1.430351;0.327663;-0.968441;0.134038;0.184656;0.100289;0.093661;1.390071;0.359530;0.393844;-0.900300;0.176707;-0.055877;0.110714;1.421889;0.373686;-0.766832;-0.586756;0.224861;0.130855;0.115522;1.414250;0.326258;-0.945098;0.059715;0.072428;0.313016;0.094521;1.394564;0.380518;-0.107105;-0.974773;0.195820;-0.000990;0.098626;1.405342;0.342756;0.393844;-0.900300;0.176707;-0.055877;2023/05/02 11:34:42.2960;0.077721;1.390338;0.362730;0.390441;-0.912824;0.096213;-0.071072;0.091824;1.435119;0.375077;-0.818087;-0.547873;0.160266;0.069885;0.108434;1.419094;0.322865;-0.968441;0.134038;0.184656;0.100289;0.077852;1.399073;0.389442;-0.155762;-0.975104;0.156206;-0.022571;0.083053;1.407111;0.343887;0.390441;-0.912824;0.096213;-0.071072;890466f8-4800-4136-9056-fb649b447e31;0.003729;1.434802;0.339593;-0.652113;0.484796;0.403651;-0.420461;0.062347;1.415858;0.306605;-0.719087;0.363739;0.349706;-0.477822;0.033101;1.422354;0.323481;-0.765080;0.395679;0.343545;-0.374258;-0.020508;1.443276;0.343929;-0.652113;0.484796;0.403651;-0.420461;131;0.107695;1.416484;0.282404;-0.968441;0.134038;0.184656;0.100289
NA;53855;10;-0.015127;1.775153;-0.019078;0.958896;0.281379;0.003238;0.036526;0.044448;1.400714;0.368160;0.281783;-0.939807;-0.031051;-0.190777;0.049834;1.443335;0.365111;-0.893383;-0.401245;0.194446;-0.055313;0.073537;1.421601;0.310777;-0.968064;0.136017;0.184000;0.102444;0.037678;1.413715;0.389273;-0.251583;-0.950464;0.085636;-0.161214;0.052984;1.412595;0.349543;0.281783;-0.939807;-0.031051;-0.190777;0.061755;1.394879;0.369576;0.307508;-0.946879;-0.016097;-0.092743;0.072243;1.444557;0.372507;-0.867435;-0.472152;0.153770;0.031374;0.090399;1.420226;0.314869;-0.968064;0.136017;0.184000;0.102444;0.058787;1.407808;0.395517;-0.219637;-0.964214;0.124360;-0.081147;0.066557;1.409350;0.347985;0.307508;-0.946879;-0.016097;-0.092743;0.090017;1.430462;0.327273;-0.968064;0.136017;0.184000;0.102444;0.093685;1.390252;0.359273;0.391786;-0.900646;0.179294;-0.056514;0.110927;1.422031;0.373301;-0.767580;-0.584844;0.226088;0.132904;0.115649;1.414225;0.325892;-0.944231;0.061471;0.072295;0.315314;0.094600;1.394813;0.380244;-0.108939;-0.974067;0.198308;-0.000334;0.098702;1.405431;0.342430;0.391786;-0.900646;0.179294;-0.056514;2023/05/02 11:34:42.3072;0.077757;1.390608;0.362469;0.388566;-0.913308;0.098706;-0.071713;0.092107;1.435362;0.374671;-0.818763;-0.546258;0.161370;0.072030;0.108583;1.419095;0.322492;-0.968064;0.136017;0.184000;0.102444;0.077963;1.399430;0.389152;-0.157507;-0.974451;0.158613;-0.021876;0.083153;1.407285;0.343560;0.388566;-0.913308;0.098706;-0.071713;890466f8-4800-4136-9056-fb649b447e31;0.003987;1.435399;0.339287;-0.652613;0.486727;0.401438;-0.419573;0.062465;1.416047;0.306285;-0.719976;0.365529;0.347623;-0.476637;0.033272;1.422750;0.323172;-0.765711;0.397435;0.341435;-0.373034;-0.020201;1.444014;0.343616;-0.652613;0.486727;0.401438;-0.419573;142;0.107792;1.416368;0.282039;-0.968064;0.136017;0.184000;0.102444
