,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.000286,1.634105,0.071792,0.977168,0.210944,0.018028,-0.01789,-0.031161,1.530666,0.361837,-0.305478,-0.310323,0.605956,0.665733,0.017976,1.486709,0.353778,-0.328794,-0.245222,0.588322,0.696878,0.051005,1.433571,0.337906,-0.246085,-0.177604,0.593343,0.745549,-0.011624,1.513469,0.361394,-0.291094,-0.291299,0.637681,0.650978,-0.050088,1.545116,0.364667,-0.305478,-0.310323,0.605956,0.665733,0.001561,1.47324,0.308161,0.333658,-0.270761,0.433947,-0.791866,-8.7e-05,1.472013,0.359297,-0.10679,-0.382894,0.875034,0.276231,0.038336,1.421466,0.339112,-0.246085,-0.177604,0.593343,0.745549,-0.018406,1.49048,0.321384,0.226458,-0.341405,0.779424,-0.473981,0.020919,1.458954,0.319898,0.333658,-0.270761,0.433947,-0.791866,0.027895,1.4304,0.348721,-0.246085,-0.177604,0.593343,0.745549,-0.016099,1.447959,0.30933,0.493747,-0.142449,0.471321,-0.716784,-0.023503,1.436183,0.344334,-0.002101,-0.402221,0.841173,0.361443,0.013883,1.405419,0.337503,-0.163884,-0.40391,0.516726,0.73688,-0.033186,1.456135,0.320028,0.329555,-0.345812,0.791382,-0.381473,0.000496,1.43553,0.320431,0.493747,-0.142449,0.471321,-0.716784,-0.004082,1.456943,0.308291,0.431724,-0.16838,0.38571,-0.797804,-0.013376,1.454947,0.353972,-0.054621,-0.399093,0.877644,0.259776,0.021029,1.410335,0.34099,-0.246085,-0.177604,0.593343,0.745549,-0.026041,1.472171,0.31809,0.299602,-0.329668,0.750637,-0.487957,0.012401,1.443902,0.323788,0.431724,-0.16838,0.38571,-0.797804,0.075792,1.50841,0.329321,-0.286088,0.563046,0.429044,0.645797,0.061293,1.439186,0.331413,-0.358467,0.51301,0.542543,0.56033,0.067768,1.473167,0.327406,-0.326904,0.438687,0.530189,0.647755,0.089273,1.531057,0.330217,-0.286088,0.563046,0.429044,0.645797,9,0.055877,1.388787,0.338145,-0.246085,-0.177604,0.593343,0.745549,22,Nummer2,Static,Right
1,2,0.000307,1.634141,0.07192,0.977166,0.210974,0.017924,-0.01779,-0.031404,1.530352,0.362996,-0.30593,-0.310804,0.603567,0.667469,0.017784,1.486516,0.354596,-0.329383,-0.245752,0.585968,0.698394,0.050824,1.433478,0.338409,-0.246564,-0.177649,0.591264,0.74703,-0.011841,1.513189,0.362415,-0.291616,-0.291792,0.635379,0.652773,-0.050348,1.544756,0.365949,-0.30593,-0.310804,0.603567,0.667469,0.001339,1.473204,0.308964,0.334505,-0.270566,0.434992,-0.791001,-0.000256,1.47178,0.360082,-0.106675,-0.383444,0.874218,0.278091,0.038166,1.421357,0.339582,-0.246564,-0.177649,0.591264,0.74703,-0.018637,1.490374,0.322262,0.227058,-0.341599,0.780153,-0.472352,0.020716,1.458906,0.320656,0.334505,-0.270566,0.434992,-0.791001,0.027736,1.430239,0.349253,-0.246564,-0.177649,0.591264,0.74703,-0.016335,1.447934,0.310033,0.493935,-0.142032,0.473078,-0.715579,-0.023675,1.436002,0.344999,-0.002029,-0.402218,0.840259,0.363567,0.01372,1.4053,0.337947,-0.163748,-0.40374,0.514664,0.738445,-0.03341,1.456052,0.320794,0.329783,-0.345682,0.792358,-0.379362,0.000282,1.435469,0.321061,0.493935,-0.142032,0.473078,-0.715579,-0.004319,1.456928,0.309016,0.432184,-0.168168,0.387508,-0.796727,-0.013543,1.454728,0.354704,-0.054548,-0.399424,0.876864,0.261908,0.02087,1.410205,0.341442,-0.246564,-0.177649,0.591264,0.74703,-0.026277,1.472093,0.318915,0.299953,-0.329759,0.751764,-0.48594,0.012194,1.443839,0.32444,0.432184,-0.168168,0.387508,-0.796727,0.075554,1.508372,0.330165,-0.287948,0.562861,0.427041,0.64646,0.061097,1.43913,0.331924,-0.360455,0.512415,0.54094,0.561148,0.067543,1.473136,0.328081,-0.328674,0.438283,0.52831,0.648669,0.089038,1.531013,0.331159,-0.287948,0.562861,0.427041,0.64646,22,0.055729,1.388698,0.338425,-0.246564,-0.177649,0.591264,0.74703,22,Nummer2,Static,Right
2,3,0.000336,1.634129,0.071974,0.977033,0.211579,0.018017,-0.017798,-0.031644,1.530077,0.36405,-0.30638,-0.311239,0.601374,0.669038,0.017593,1.486356,0.355339,-0.329954,-0.246236,0.583819,0.699752,0.050641,1.433408,0.338868,-0.247003,-0.177661,0.58939,0.748362,-0.012057,1.512947,0.363343,-0.292129,-0.292242,0.633267,0.654392,-0.050603,1.544437,0.367115,-0.30638,-0.311239,0.601374,0.669038,0.001127,1.473178,0.309697,0.335286,-0.270353,0.435802,-0.790297,-0.000427,1.471585,0.360797,-0.106559,-0.383949,0.8735,0.279688,0.037993,1.421274,0.340013,-0.247003,-0.177661,0.58939,0.748362,-0.018861,1.490288,0.323056,0.227626,-0.341763,0.780746,-0.470978,0.020518,1.458872,0.321356,0.335286,-0.270353,0.435802,-0.790297,0.027573,1.430109,0.34974,-0.247003,-0.177661,0.58939,0.748362,-0.016566,1.447923,0.310675,0.494088,-0.141653,0.474614,-0.71453,-0.02385,1.435855,0.345608,-0.001963,-0.402202,0.839457,0.365434,0.013553,1.405208,0.338355,-0.163635,-0.403559,0.512811,0.739858,-0.033631,1.455991,0.321492,0.329974,-0.345558,0.793219,-0.377506,6.9e-05,1.435426,0.32164,0.494088,-0.141653,0.474614,-0.71453,-0.004551,1.456926,0.309678,0.432594,-0.167977,0.389072,-0.795782,-0.013712,1.454547,0.355372,-0.054483,-0.39972,0.876172,0.263778,0.020706,1.410104,0.341857,-0.247003,-0.177661,0.58939,0.748362,-0.026508,1.472034,0.319665,0.300265,-0.329843,0.752751,-0.48416,0.011989,1.443796,0.325039,0.432594,-0.167977,0.389072,-0.795782,0.075325,1.508349,0.330937,-0.289589,0.562717,0.425149,0.647098,0.060901,1.439094,0.332391,-0.362246,0.51188,0.539462,0.561906,0.067323,1.47312,0.328697,-0.330257,0.437925,0.526574,0.649517,0.088816,1.530982,0.33202,-0.289589,0.562717,0.425149,0.647098,39,0.055573,1.388634,0.338683,-0.247003,-0.177661,0.58939,0.748362,22,Nummer2,Static,Right
3,4,0.000357,1.634189,0.07198,0.976967,0.211897,0.017942,-0.017694,-0.032516,1.529762,0.36342,-0.306275,-0.31255,0.602539,0.667424,0.016823,1.486105,0.354985,-0.329902,-0.247466,0.584908,0.698433,0.049968,1.433133,0.338738,-0.24662,-0.178584,0.590451,0.747432,-0.012897,1.512663,0.362837,-0.291881,-0.293613,0.634498,0.652694,-0.05151,1.544098,0.366379,-0.306275,-0.31255,0.602539,0.667424,0.000522,1.472789,0.309378,0.336037,-0.269345,0.433511,-0.791581,-0.001203,1.471334,0.360426,-0.105795,-0.384572,0.873848,0.27803,0.037323,1.420996,0.33986,-0.24662,-0.178584,0.590451,0.747432,-0.019536,1.489934,0.322585,0.228906,-0.341392,0.779259,-0.473086,0.019871,1.45854,0.321175,0.336037,-0.269345,0.433511,-0.791581,0.026851,1.429852,0.349531,-0.24662,-0.178584,0.590451,0.747432,-0.017158,1.447532,0.310286,0.494818,-0.141587,0.473269,-0.71493,-0.024564,1.435559,0.345248,-0.001054,-0.403083,0.839945,0.363339,0.012876,1.404919,0.33816,-0.163589,-0.404534,0.513683,0.738729,-0.03426,1.455614,0.321032,0.330857,-0.345683,0.792135,-0.378893,-0.000535,1.435073,0.321313,0.494818,-0.141587,0.473269,-0.71493,-0.00514,1.456515,0.309339,0.432917,-0.167369,0.387467,-0.796518,-0.014463,1.454277,0.355001,-0.05353,-0.400032,0.87669,0.261771,0.020017,1.409826,0.341671,-0.24662,-0.178584,0.590451,0.747432,-0.027131,1.471659,0.319196,0.301092,-0.329351,0.751458,-0.485987,0.011355,1.443423,0.32478,0.432917,-0.167369,0.387467,-0.796518,0.074766,1.508042,0.331082,-0.288871,0.560942,0.424803,0.649184,0.060264,1.438801,0.332301,-0.361315,0.510232,0.539637,0.563833,0.066721,1.472832,0.328711,-0.328972,0.436266,0.526224,0.651566,0.088275,1.530658,0.332289,-0.288871,0.560942,0.424803,0.649184,56,0.054905,1.388371,0.338635,-0.24662,-0.178584,0.590451,0.747432,22,Nummer2,Static,Right
4,5,0.000358,1.634328,0.072047,0.977093,0.211377,0.017494,-0.017424,-0.033264,1.529781,0.363493,-0.308215,-0.312772,0.602048,0.66687,0.016209,1.48629,0.354989,-0.331894,-0.247562,0.584404,0.697876,0.049525,1.433425,0.338725,-0.248744,-0.17877,0.590172,0.746903,-0.013586,1.512751,0.362885,-0.293843,-0.29389,0.633995,0.652178,-0.052302,1.544054,0.366474,-0.308215,-0.312772,0.602048,0.66687,-0.000153,1.47289,0.30945,0.337226,-0.271062,0.432567,-0.791006,-0.00175,1.471457,0.360482,-0.10757,-0.386039,0.872959,0.278111,0.036927,1.421243,0.33988,-0.248744,-0.17877,0.590172,0.746903,-0.020257,1.489963,0.32268,0.228976,-0.343594,0.778544,-0.472634,0.019272,1.458741,0.321242,0.337226,-0.271062,0.432567,-0.791006,0.026436,1.430071,0.349562,-0.248744,-0.17877,0.590172,0.746903,-0.017737,1.447563,0.310397,0.495599,-0.143526,0.473371,-0.713934,-0.025009,1.43558,0.345387,-0.002925,-0.404285,0.839256,0.363586,0.01253,1.405076,0.338244,-0.165712,-0.404622,0.513067,0.738636,-0.034844,1.455583,0.321183,0.330498,-0.347826,0.791777,-0.377992,-0.00104,1.435176,0.321391,0.495599,-0.143526,0.473371,-0.713934,-0.005757,1.456603,0.309415,0.434158,-0.169236,0.387317,-0.79552,-0.014958,1.454345,0.355101,-0.055277,-0.401613,0.875808,0.261939,0.01966,1.410012,0.341735,-0.248744,-0.17877,0.590172,0.746903,-0.02779,1.471655,0.31932,0.301144,-0.331668,0.751001,-0.485084,0.010829,1.443592,0.324827,0.434158,-0.169236,0.387317,-0.79552,0.074118,1.508398,0.331067,-0.290138,0.560759,0.425073,0.648601,0.059794,1.439123,0.332269,-0.362689,0.509723,0.540138,0.562931,0.066134,1.473176,0.328677,-0.330098,0.436076,0.526136,0.651195,0.087574,1.531047,0.332272,-0.290138,0.560759,0.425073,0.648601,72,0.054622,1.388685,0.338642,-0.248744,-0.17877,0.590172,0.746903,22,Nummer2,Static,Right
5,6,0.000381,1.634571,0.072149,0.977321,0.210377,0.016914,-0.017285,-0.034522,1.529306,0.362685,-0.307855,-0.315155,0.601498,0.666411,0.015117,1.485975,0.354315,-0.331549,-0.250123,0.584263,0.697246,0.048641,1.433165,0.338247,-0.247908,-0.181296,0.59063,0.74621,-0.014791,1.512335,0.362121,-0.293389,-0.296311,0.633525,0.651744,-0.053614,1.543515,0.365625,-0.307855,-0.315155,0.601498,0.666411,-0.000928,1.472508,0.308736,0.339876,-0.268637,0.42932,-0.792467,-0.002842,1.471107,0.359713,-0.105416,-0.388024,0.872813,0.276627,0.036058,1.420961,0.339321,-0.247908,-0.181296,0.59063,0.74621,-0.021173,1.489547,0.321793,0.232165,-0.343079,0.776882,-0.474185,0.018429,1.458454,0.320752,0.339876,-0.268637,0.42932,-0.792467,0.02548,1.429776,0.348938,-0.247908,-0.181296,0.59063,0.74621,-0.01848,1.447144,0.309544,0.49724,-0.141401,0.471032,-0.714763,-0.025953,1.435187,0.344494,-0.000706,-0.405609,0.83928,0.362062,0.011681,1.404754,0.337546,-0.165064,-0.407048,0.513092,0.737429,-0.035656,1.455165,0.320217,0.332871,-0.347023,0.790481,-0.379355,-0.001859,1.434777,0.320677,0.49724,-0.141401,0.471032,-0.714763,-0.006519,1.456224,0.308629,0.436236,-0.167211,0.385213,-0.795833,-0.015989,1.45397,0.354262,-0.053049,-0.403387,0.875583,0.260421,0.018783,1.409705,0.341075,-0.247908,-0.181296,0.59063,0.74621,-0.028645,1.471231,0.318394,0.303859,-0.331156,0.749589,-0.485924,0.009991,1.443267,0.324168,0.436236,-0.167211,0.385213,-0.795833,0.073299,1.508146,0.331178,-0.289232,0.557875,0.423104,0.652766,0.058954,1.438872,0.331869,-0.362223,0.506306,0.540343,0.566108,0.065285,1.47295,0.328504,-0.328897,0.432806,0.525101,0.654809,0.086819,1.53074,0.332644,-0.289232,0.557875,0.423104,0.652766,85,0.053802,1.388445,0.338164,-0.247908,-0.181296,0.59063,0.74621,22,Nummer2,Static,Right
6,7,0.000403,1.634648,0.072315,0.977458,0.20975,0.016728,-0.017369,-0.035134,1.52909,0.362286,-0.307654,-0.31628,0.601308,0.666142,0.014581,1.485832,0.353989,-0.331356,-0.251326,0.584253,0.696912,0.048202,1.433047,0.338015,-0.247507,-0.182491,0.590863,0.745868,-0.015378,1.512147,0.361747,-0.293142,-0.297451,0.633368,0.651487,-0.05425,1.543271,0.365203,-0.307654,-0.31628,0.601308,0.666142,-0.001315,1.472333,0.30839,0.341077,-0.267524,0.427885,-0.793103,-0.003377,1.470947,0.359343,-0.104398,-0.388935,0.872754,0.27592,0.035626,1.420834,0.339053,-0.247507,-0.182491,0.590863,0.745868,-0.021624,1.489358,0.321367,0.233632,-0.342828,0.776123,-0.474887,0.01801,1.458321,0.320505,0.341077,-0.267524,0.427885,-0.793103,0.025008,1.429642,0.348639,-0.247507,-0.182491,0.590863,0.745868,-0.018851,1.446952,0.309136,0.498028,-0.140431,0.469954,-0.715116,-0.026418,1.435007,0.344067,0.000329,-0.406258,0.839277,0.361343,0.011261,1.404608,0.337213,-0.164758,-0.408198,0.51312,0.736843,-0.036061,1.454973,0.319755,0.333998,-0.34667,0.789861,-0.379981,-0.002265,1.434596,0.320332,0.498028,-0.140431,0.469954,-0.715116,-0.006898,1.456051,0.308252,0.437196,-0.166265,0.38424,-0.795975,-0.016495,1.453799,0.353859,-0.052,-0.404206,0.875482,0.2597,0.01835,1.409564,0.340759,-0.247507,-0.182491,0.590863,0.745868,-0.029067,1.471036,0.317951,0.305127,-0.330904,0.748922,-0.486329,0.009575,1.443118,0.323849,0.437196,-0.166265,0.38424,-0.795975,0.072878,1.508033,0.331199,-0.288819,0.556548,0.42236,0.654562,0.058535,1.43876,0.331674,-0.361968,0.504762,0.54052,0.56748,0.064859,1.472849,0.328404,-0.328349,0.431309,0.524754,0.656349,0.086422,1.530606,0.332777,-0.288819,0.556548,0.42236,0.654562,98,0.053394,1.388336,0.337936,-0.247507,-0.182491,0.590863,0.745868,22,Nummer2,Static,Right
7,8,0.000441,1.634699,0.072514,0.97757,0.209213,0.016678,-0.017575,-0.036051,1.528699,0.362748,-0.309305,-0.317384,0.601688,0.664507,0.013853,1.485633,0.354598,-0.333038,-0.252316,0.584695,0.695381,0.047735,1.432995,0.338673,-0.249725,-0.183541,0.590768,0.744946,-0.016223,1.511839,0.362274,-0.294706,-0.298654,0.633795,0.649814,-0.05523,1.542806,0.36561,-0.309305,-0.317384,0.601688,0.664507,-0.002033,1.472025,0.309042,0.342963,-0.269239,0.426921,-0.792228,-0.004026,1.470664,0.359984,-0.105853,-0.391163,0.87168,0.27561,0.035221,1.42072,0.33973,-0.249725,-0.183541,0.590768,0.744946,-0.022425,1.488949,0.322021,0.234442,-0.345315,0.775042,-0.474453,0.017382,1.458133,0.321153,0.342963,-0.269239,0.426921,-0.792228,0.024559,1.429489,0.34931,-0.249725,-0.183541,0.590768,0.744946,-0.019453,1.446564,0.309821,0.49984,-0.142407,0.469597,-0.713695,-0.026897,1.434589,0.34477,-0.00147,-0.408541,0.838127,0.361435,0.010929,1.404372,0.337925,-0.167063,-0.409106,0.512482,0.736264,-0.036696,1.454485,0.320463,0.334477,-0.349435,0.788978,-0.37886,-0.002781,1.434315,0.321005,0.49984,-0.142407,0.469597,-0.713695,-0.007544,1.455724,0.308932,0.439197,-0.167759,0.383347,-0.79499,-0.017062,1.453444,0.354532,-0.053501,-0.406477,0.874342,0.259694,0.017996,1.409369,0.34146,-0.249725,-0.183541,0.590768,0.744946,-0.029787,1.470595,0.318637,0.305994,-0.333345,0.74791,-0.485674,0.009007,1.442902,0.324539,0.439197,-0.167759,0.383347,-0.79499,0.072091,1.50808,0.331925,-0.2901,0.555642,0.422683,0.654556,0.058042,1.438748,0.332324,-0.363494,0.503268,0.54154,0.566859,0.064201,1.47287,0.329083,-0.329761,0.430046,0.525162,0.656143,0.085571,1.530688,0.333541,-0.2901,0.555642,0.422683,0.654556,111,0.053145,1.388314,0.338636,-0.249725,-0.183541,0.590768,0.744946,22,Nummer2,Static,Right
8,9,0.000496,1.63469,0.072837,0.977638,0.20882,0.016997,-0.018154,-0.036761,1.528489,0.362203,-0.309527,-0.319169,0.601375,0.663832,0.013292,1.485583,0.354119,-0.333412,-0.254056,0.584359,0.69485,0.047357,1.433024,0.338315,-0.24978,-0.185365,0.591012,0.744281,-0.01688,1.511691,0.361755,-0.294941,-0.300408,0.633367,0.649316,-0.05599,1.542536,0.365028,-0.309527,-0.319169,0.601375,0.663832,-0.002421,1.471929,0.308518,0.344778,-0.268613,0.425753,-0.792282,-0.004567,1.470572,0.359455,-0.104953,-0.392835,0.871302,0.274769,0.03487,1.420719,0.339335,-0.24978,-0.185365,0.591012,0.744281,-0.022901,1.488796,0.321432,0.236276,-0.345735,0.774143,-0.474704,0.016993,1.4581,0.320701,0.344778,-0.268613,0.425753,-0.792282,0.024153,1.429465,0.348878,-0.24978,-0.185365,0.591012,0.744281,-0.019789,1.446428,0.309248,0.501426,-0.142088,0.468753,-0.7132,-0.027302,1.434437,0.344182,-0.000747,-0.410164,0.837624,0.360765,0.01062,1.404312,0.337459,-0.167255,-0.41083,0.512322,0.735371,-0.037081,1.454303,0.319843,0.336054,-0.349976,0.788053,-0.37889,-0.003113,1.434223,0.320476,0.501426,-0.142088,0.468753,-0.7132,-0.007895,1.455621,0.308388,0.440919,-0.16718,0.382424,-0.794603,-0.017543,1.453318,0.353968,-0.052588,-0.408144,0.873849,0.258922,0.017663,1.409327,0.341014,-0.24978,-0.185365,0.591012,0.744281,-0.03021,1.470426,0.318031,0.307758,-0.333773,0.746993,-0.485677,0.008647,1.442849,0.324045,0.440919,-0.16718,0.382424,-0.794603,0.071593,1.508155,0.331778,-0.290261,0.553831,0.422914,0.655869,0.057673,1.438799,0.332002,-0.363566,0.501267,0.542408,0.567754,0.06376,1.47294,0.328835,-0.329625,0.428108,0.525418,0.657273,0.085038,1.530777,0.333492,-0.290261,0.553831,0.422914,0.655869,128,0.052873,1.388358,0.338302,-0.24978,-0.185365,0.591012,0.744281,22,Nummer2,Static,Right
9,10,0.000605,1.634698,0.073169,0.977603,0.208953,0.017262,-0.018265,-0.038129,1.528079,0.361251,-0.310162,-0.322472,0.600361,0.662857,0.01221,1.485499,0.353217,-0.334362,-0.257269,0.58329,0.694109,0.046607,1.433079,0.337646,-0.249825,-0.188711,0.591502,0.743035,-0.018144,1.511404,0.360821,-0.295651,-0.303633,0.632096,0.648731,-0.057453,1.542004,0.364031,-0.310162,-0.322472,0.600361,0.662857,-0.003171,1.47175,0.307532,0.348147,-0.26734,0.423364,-0.792519,-0.005611,1.470411,0.358461,-0.103206,-0.395916,0.870657,0.273049,0.034169,1.42072,0.338596,-0.249825,-0.188711,0.591502,0.743035,-0.023815,1.488515,0.320318,0.239695,-0.346454,0.772411,-0.475287,0.016235,1.45804,0.319862,0.348147,-0.26734,0.423364,-0.792519,0.023351,1.429427,0.348069,-0.249825,-0.188711,0.591502,0.743035,-0.020444,1.446177,0.308171,0.504239,-0.141422,0.467115,-0.712423,-0.028099,1.434166,0.34308,0.000711,-0.413034,0.83682,0.359354,0.009994,1.404207,0.336588,-0.167563,-0.413997,0.512073,0.733696,-0.037827,1.453975,0.318674,0.338926,-0.350825,0.786323,-0.379139,-0.003769,1.43405,0.319484,0.504239,-0.141422,0.467115,-0.712423,-0.008578,1.45543,0.307362,0.444071,-0.166108,0.380694,-0.793903,-0.018479,1.453096,0.35291,-0.050803,-0.411207,0.873,0.257292,0.016995,1.409256,0.340179,-0.249825,-0.188711,0.591502,0.743035,-0.031022,1.470114,0.316888,0.311005,-0.334539,0.745268,-0.485732,0.007948,1.442751,0.323111,0.444071,-0.166108,0.380694,-0.793903,0.070633,1.508289,0.331533,-0.290558,0.550385,0.423122,0.658499,0.056944,1.438892,0.331399,-0.363719,0.497446,0.54391,0.569577,0.062899,1.473071,0.328383,-0.329319,0.42444,0.525683,0.659589,0.08402,1.53093,0.333442,-0.290558,0.550385,0.423122,0.658499,141,0.052312,1.388443,0.337677,-0.249825,-0.188711,0.591502,0.743035,22,Nummer2,Static,Right
