Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;36576;1;-0.025210;1.580667;0.107807;0.969706;0.238465;0.048315;-0.021694;0.180962;1.548193;0.504873;0.272988;0.958966;0.075762;-0.011017;0.177691;1.565488;0.460143;0.988757;-0.127134;0.013998;0.077466;0.195222;1.500394;0.441766;0.820739;-0.566504;-0.057321;0.046631;0.178051;1.576925;0.503768;0.720227;0.691576;0.051101;0.019607;0.182032;1.533251;0.482864;0.272988;0.958966;0.075762;-0.011017;0.202857;1.545157;0.504282;0.154474;0.983401;0.047006;-0.082767;0.203355;1.570784;0.455759;0.997539;-0.069432;-0.002025;0.009531;0.214619;1.502134;0.437981;0.820739;-0.566504;-0.057321;0.046631;0.203081;1.577853;0.506313;0.684825;0.728696;-0.000675;-0.004058;0.198976;1.534649;0.476754;0.154474;0.983401;0.047006;-0.082767;0.212708;1.518886;0.434394;0.820739;-0.566504;-0.057321;0.046631;0.235117;1.528570;0.495523;0.162878;0.970125;-0.178897;-0.017986;0.249869;1.552767;0.462541;0.990090;0.025431;-0.108221;-0.085810;0.243287;1.504356;0.438878;0.822582;-0.528047;-0.056737;-0.203237;0.241881;1.551605;0.498169;0.663444;0.732979;-0.132300;-0.071289;0.231920;1.519326;0.471314;0.162878;0.970125;-0.178897;-0.017986;2023/04/28 09:25:54.4115;0.219766;1.534587;0.500246;0.107154;0.990792;-0.074726;-0.035575;0.227196;1.564692;0.458227;0.998963;-0.007961;-0.028302;-0.034762;0.233701;1.505213;0.434993;0.820739;-0.566504;-0.057321;0.046631;0.224600;1.565521;0.504519;0.656222;0.750279;-0.068442;-0.042077;0.217298;1.526704;0.472456;0.107154;0.990792;-0.074726;-0.035575;4fad4b11-e082-4450-bc91-cd45055286dd;0.170247;1.526329;0.519216;0.592120;0.100896;0.460645;0.653468;0.186131;1.494399;0.451657;0.506423;-0.262699;0.009671;0.821238;0.169828;1.505300;0.484975;0.618986;-0.170746;0.211667;0.736818;0.189001;1.541283;0.536004;0.592120;0.100896;0.460645;0.653468;10;0.222060;1.466988;0.413029;0.820739;-0.566504;-0.057321;0.046631
NA;36577;2;-0.025087;1.581233;0.107890;0.970340;0.235808;0.048488;-0.021996;0.180660;1.547503;0.505451;0.272863;0.958915;0.076871;-0.010915;0.177322;1.564901;0.460742;0.988828;-0.125908;0.014114;0.078535;0.195028;1.499903;0.442200;0.821422;-0.565356;-0.057945;0.047763;0.177689;1.576231;0.504395;0.719633;0.692109;0.052022;0.020187;0.181754;1.532569;0.483438;0.272863;0.958915;0.076871;-0.010915;0.202559;1.544535;0.504850;0.153909;0.983424;0.048183;-0.082873;0.202970;1.570276;0.456360;0.997607;-0.068289;-0.001792;0.010631;0.214419;1.501706;0.438406;0.821422;-0.565356;-0.057945;0.047763;0.202714;1.577229;0.506930;0.684285;0.729206;0.000338;-0.003549;0.198684;1.534055;0.477311;0.153909;0.983424;0.048183;-0.082873;0.212450;1.518458;0.434857;0.821422;-0.565356;-0.057945;0.047763;0.234857;1.528020;0.496007;0.161666;0.970566;-0.177576;-0.018252;0.249534;1.552363;0.463075;0.990181;0.027156;-0.107860;-0.084684;0.243070;1.503997;0.439290;0.823544;-0.526953;-0.056987;-0.202110;0.241563;1.551066;0.498702;0.662718;0.733901;-0.131074;-0.070814;0.231672;1.518831;0.471775;0.161666;0.970566;-0.177576;-0.018252;2023/04/28 09:25:54.4231;0.219495;1.533995;0.500740;0.105603;0.991051;-0.073396;-0.035776;0.226829;1.564240;0.458802;0.999023;-0.006496;-0.028019;-0.033544;0.233480;1.504838;0.435411;0.821422;-0.565356;-0.057945;0.047763;0.224253;1.564929;0.505097;0.655234;0.751277;-0.067277;-0.041534;0.217034;1.526196;0.472925;0.105603;0.991051;-0.073396;-0.035776;4fad4b11-e082-4450-bc91-cd45055286dd;0.170125;1.525620;0.519735;0.590949;0.101473;0.460507;0.654535;0.185970;1.493861;0.452092;0.505751;-0.261637;0.008884;0.822000;0.169688;1.504657;0.485455;0.618208;-0.169698;0.211334;0.737807;0.188870;1.540582;0.536527;0.590949;0.101473;0.460507;0.654535;22;0.221930;1.466640;0.413353;0.821422;-0.565356;-0.057945;0.047763
NA;36578;3;-0.024955;1.581780;0.107967;0.970839;0.233699;0.048625;-0.022206;0.180385;1.546827;0.505999;0.272724;0.958873;0.077894;-0.010807;0.176984;1.564331;0.461312;0.988908;-0.124643;0.014217;0.079517;0.194857;1.499425;0.442615;0.822073;-0.564255;-0.058558;0.048814;0.177358;1.575551;0.504993;0.719009;0.692678;0.052868;0.020723;0.181500;1.531902;0.483982;0.272724;0.958873;0.077894;-0.010807;0.202285;1.543926;0.505396;0.153421;0.983439;0.049251;-0.082969;0.202617;1.569780;0.456935;0.997674;-0.067148;-0.001581;0.011628;0.214242;1.501288;0.438814;0.822073;-0.564255;-0.058558;0.048814;0.202376;1.576618;0.507520;0.683793;0.729668;0.001258;-0.003088;0.198415;1.533470;0.477848;0.153421;0.983439;0.049251;-0.082969;0.212218;1.518040;0.435299;0.822073;-0.564255;-0.058558;0.048814;0.234619;1.527482;0.496473;0.160552;0.970978;-0.176306;-0.018459;0.249228;1.551967;0.463588;0.990259;0.028815;-0.107561;-0.083587;0.242875;1.503644;0.439686;0.824458;-0.525896;-0.057242;-0.201062;0.241270;1.550539;0.499213;0.662075;0.734734;-0.129917;-0.070319;0.231448;1.518344;0.472221;0.160552;0.970978;-0.176306;-0.018459;2023/04/28 09:25:54.4339;0.219246;1.533413;0.501207;0.103981;0.991309;-0.072128;-0.035933;0.226491;1.563798;0.459353;0.999077;-0.005015;-0.027785;-0.032388;0.233281;1.504471;0.435813;0.822073;-0.564255;-0.058558;0.048814;0.223932;1.564346;0.505651;0.654217;0.752289;-0.066190;-0.040994;0.216795;1.525703;0.473367;0.103981;0.991309;-0.072128;-0.035933;4fad4b11-e082-4450-bc91-cd45055286dd;0.170023;1.524951;0.520222;0.589899;0.102012;0.460452;0.655436;0.185829;1.493339;0.452507;0.505131;-0.260721;0.008196;0.822679;0.169564;1.504043;0.485908;0.617511;-0.168750;0.211106;0.738673;0.188763;1.539920;0.537014;0.589899;0.102012;0.460452;0.655436;33;0.221818;1.466299;0.413664;0.822073;-0.564255;-0.058558;0.048814
NA;36579;4;-0.024810;1.582318;0.108038;0.971200;0.232127;0.048863;-0.022344;0.180105;1.547342;0.505865;0.278271;0.957301;0.077505;-0.011565;0.176683;1.564482;0.460994;0.988427;-0.128631;0.015011;0.079001;0.194504;1.499445;0.442721;0.820280;-0.566929;-0.057770;0.048947;0.177105;1.576057;0.504582;0.722361;0.689205;0.052876;0.019894;0.181199;1.532160;0.484022;0.278271;0.957301;0.077505;-0.011565;0.202011;1.544396;0.505228;0.157524;0.982763;0.048672;-0.083630;0.202317;1.569882;0.456557;0.997417;-0.070926;-0.001081;0.011349;0.213886;1.501270;0.438881;0.820280;-0.566929;-0.057770;0.048947;0.202124;1.577103;0.507089;0.686721;0.726911;0.001315;-0.003625;0.198111;1.533709;0.477772;0.157524;0.982763;0.048672;-0.083630;0.211854;1.517994;0.435249;0.820280;-0.566929;-0.057770;0.048947;0.234321;1.527761;0.496295;0.163306;0.970471;-0.176571;-0.018466;0.248920;1.552075;0.463280;0.990342;0.026310;-0.107426;-0.083606;0.242504;1.503602;0.439699;0.822688;-0.528699;-0.057281;-0.200951;0.240986;1.550827;0.498917;0.663891;0.733057;-0.130062;-0.070438;0.231121;1.518491;0.472096;0.163306;0.970471;-0.176571;-0.018466;2023/04/28 09:25:54.4462;0.218956;1.533797;0.501086;0.108132;0.990805;-0.072748;-0.036337;0.226188;1.563896;0.458990;0.999052;-0.008403;-0.027345;-0.032816;0.232907;1.504412;0.435830;0.820280;-0.566929;-0.057770;0.048947;0.223680;1.564758;0.505286;0.657126;0.749704;-0.066353;-0.041551;0.216460;1.525858;0.473314;0.108132;0.990805;-0.072748;-0.036337;4fad4b11-e082-4450-bc91-cd45055286dd;0.169939;1.525507;0.520228;0.589904;0.101164;0.463207;0.653620;0.185499;1.493434;0.452678;0.504683;-0.261191;0.011735;0.822762;0.169340;1.504373;0.486055;0.617063;-0.169431;0.214689;0.737859;0.188734;1.540565;0.536878;0.589904;0.101164;0.463207;0.653620;45;0.221392;1.466106;0.413942;0.820280;-0.566929;-0.057770;0.048947
NA;36580;5;-0.024584;1.582814;0.108055;0.971506;0.230839;0.048999;-0.022108;0.179841;1.547782;0.505767;0.283545;0.955770;0.077185;-0.012221;0.176399;1.564586;0.460725;0.987967;-0.132297;0.015715;0.078562;0.194180;1.499435;0.442836;0.818653;-0.569332;-0.057085;0.049095;0.176862;1.576487;0.504224;0.725483;0.685937;0.052895;0.019179;0.180919;1.532360;0.484093;0.283545;0.955770;0.077185;-0.012221;0.201752;1.544794;0.505097;0.161351;0.982117;0.048189;-0.084208;0.202032;1.569943;0.456233;0.997168;-0.074378;-0.000646;0.011145;0.213560;1.501227;0.438961;0.818653;-0.569332;-0.057085;0.049095;0.201882;1.577514;0.506714;0.689420;0.724349;0.001393;-0.004067;0.197828;1.533894;0.477728;0.161351;0.982117;0.048189;-0.084208;0.211518;1.517925;0.435222;0.818653;-0.569332;-0.057085;0.049095;0.234041;1.527977;0.496146;0.165746;0.970026;-0.176743;-0.018454;0.248630;1.552145;0.463021;0.990412;0.024155;-0.107326;-0.083560;0.242162;1.503539;0.439731;0.821091;-0.531217;-0.057342;-0.200821;0.240716;1.551052;0.498668;0.665459;0.731612;-0.130153;-0.070485;0.230819;1.518591;0.471995;0.165746;0.970026;-0.176743;-0.018454;2023/04/28 09:25:54.4568;0.218683;1.534114;0.500997;0.111968;0.990326;-0.073283;-0.036703;0.225902;1.563956;0.458681;0.999021;-0.011445;-0.026952;-0.033173;0.232563;1.504333;0.435865;0.818653;-0.569332;-0.057085;0.049095;0.223440;1.565099;0.504974;0.659783;0.747329;-0.066477;-0.042036;0.216146;1.525964;0.473290;0.111968;0.990326;-0.073283;-0.036703;4fad4b11-e082-4450-bc91-cd45055286dd;0.169877;1.525983;0.520252;0.589858;0.100443;0.465757;0.651958;0.185198;1.493492;0.452855;0.504259;-0.261556;0.014991;0.822853;0.169141;1.504644;0.486210;0.616630;-0.169965;0.218030;0.737118;0.188723;1.541123;0.536770;0.589858;0.100443;0.465757;0.651958;55;0.221004;1.465906;0.414212;0.818653;-0.569332;-0.057085;0.049095
NA;36581;6;-0.024428;1.583211;0.108131;0.971796;0.229606;0.049177;-0.021804;0.179474;1.547442;0.506329;0.283642;0.955975;0.074496;-0.010459;0.176314;1.564364;0.461274;0.988323;-0.131283;0.013602;0.076142;0.193894;1.499198;0.443235;0.819592;-0.568164;-0.057833;0.045978;0.176625;1.576161;0.504803;0.725277;0.686391;0.049689;0.019309;0.180595;1.532018;0.484658;0.283642;0.955975;0.074496;-0.010459;0.201382;1.544321;0.505698;0.159644;0.982673;0.045985;-0.082176;0.201990;1.569628;0.456917;0.997305;-0.072769;-0.002830;0.008975;0.213299;1.500921;0.439458;0.819592;-0.568164;-0.057833;0.045978;0.201635;1.577035;0.507422;0.688240;0.725472;-0.001651;-0.003763;0.197541;1.533528;0.478274;0.159644;0.982673;0.045985;-0.082176;0.211352;1.517642;0.435772;0.819592;-0.568164;-0.057833;0.045978;0.233632;1.527422;0.496842;0.163751;0.969854;-0.179642;-0.017249;0.248480;1.551611;0.463856;0.989932;0.025538;-0.109216;-0.086338;0.241915;1.503112;0.440370;0.821439;-0.529478;-0.057750;-0.203856;0.240420;1.550452;0.499467;0.663790;0.732505;-0.133329;-0.071015;0.230457;1.518132;0.472648;0.163751;0.969854;-0.179642;-0.017249;2023/04/28 09:25:54.4670;0.218283;1.533588;0.501644;0.110233;0.990407;-0.075672;-0.034872;0.225823;1.563532;0.459453;0.998899;-0.009840;-0.029094;-0.035456;0.232336;1.503959;0.436464;0.819592;-0.568164;-0.057833;0.045978;0.223160;1.564539;0.505737;0.658380;0.748292;-0.069531;-0.041945;0.215833;1.525532;0.473902;0.110233;0.990407;-0.075672;-0.034872;4fad4b11-e082-4450-bc91-cd45055286dd;0.169297;1.525518;0.520646;0.592008;0.100950;0.462717;0.652096;0.184834;1.493257;0.453185;0.506402;-0.262447;0.012505;0.821293;0.168656;1.504328;0.486509;0.618891;-0.170113;0.215177;0.736026;0.188116;1.540517;0.537321;0.592008;0.100950;0.462717;0.652096;66;0.220715;1.465656;0.414627;0.819592;-0.568164;-0.057833;0.045978
NA;36582;7;-0.024209;1.583465;0.108046;0.972056;0.228559;0.049076;-0.021426;0.178679;1.547728;0.505758;0.284302;0.956065;0.071159;-0.006981;0.175980;1.564654;0.460662;0.988526;-0.131671;0.009657;0.073384;0.193439;1.499421;0.442742;0.819557;-0.568294;-0.060175;0.041803;0.175970;1.576458;0.504190;0.725737;0.686185;0.045050;0.020652;0.179918;1.532282;0.484108;0.284302;0.956065;0.071159;-0.006981;0.200579;1.544524;0.505302;0.159430;0.983149;0.043148;-0.078350;0.201714;1.569812;0.456528;0.997289;-0.072972;-0.006923;0.006476;0.212882;1.501064;0.439134;0.819557;-0.568294;-0.060175;0.041803;0.200961;1.577237;0.507026;0.688244;0.725449;-0.006180;-0.002178;0.196924;1.533760;0.477842;0.159430;0.983149;0.043148;-0.078350;0.211040;1.517795;0.435440;0.819557;-0.568294;-0.060175;0.041803;0.232833;1.527470;0.496712;0.162831;0.969526;-0.182544;-0.013575;0.248068;1.551596;0.463858;0.989263;0.025743;-0.113413;-0.088509;0.241501;1.503135;0.440294;0.820872;-0.528533;-0.060125;-0.207865;0.239704;1.550469;0.499401;0.662960;0.732580;-0.137782;-0.069473;0.229818;1.518201;0.472489;0.162831;0.969526;-0.182544;-0.013575;2023/04/28 09:25:54.4802;0.217467;1.533717;0.501409;0.109986;0.990350;-0.078424;-0.030965;0.225499;1.563614;0.459266;0.998683;-0.009898;-0.033263;-0.037796;0.231960;1.504024;0.436306;0.819557;-0.568294;-0.060175;0.041803;0.222453;1.564648;0.505526;0.658194;0.748115;-0.074018;-0.040325;0.215213;1.525663;0.473649;0.109986;0.990350;-0.078424;-0.030965;4fad4b11-e082-4450-bc91-cd45055286dd;0.168295;1.525718;0.519996;0.594978;0.099764;0.459728;0.651689;0.184266;1.493514;0.452607;0.508171;-0.265323;0.010243;0.819305;0.167859;1.504588;0.485818;0.621239;-0.172219;0.212312;0.734388;0.187042;1.540619;0.536840;0.594978;0.099764;0.459728;0.651689;79;0.220366;1.465779;0.414352;0.819557;-0.568294;-0.060175;0.041803
NA;36583;8;-0.024071;1.583726;0.108005;0.972251;0.227754;0.049042;-0.021216;0.177936;1.547974;0.505234;0.284830;0.956150;0.068073;-0.003764;0.175665;1.564902;0.460106;0.988694;-0.132020;0.006005;0.070838;0.193014;1.499610;0.442296;0.819505;-0.568403;-0.062362;0.037954;0.175357;1.576714;0.503631;0.726120;0.686009;0.040762;0.021896;0.179286;1.532511;0.483604;0.284830;0.956150;0.068073;-0.003764;0.199828;1.544702;0.504944;0.159215;0.983571;0.040515;-0.074816;0.201451;1.569963;0.456180;0.997250;-0.073215;-0.010706;0.004155;0.212491;1.501179;0.438845;0.819505;-0.568403;-0.062362;0.037954;0.200330;1.577413;0.506667;0.688259;0.725391;-0.010374;-0.000719;0.196344;1.533965;0.477451;0.159215;0.983571;0.040515;-0.074816;0.210746;1.517920;0.435145;0.819505;-0.568403;-0.062362;0.037954;0.232084;1.527501;0.496601;0.161995;0.969207;-0.185184;-0.010145;0.247674;1.551567;0.463872;0.988626;0.025924;-0.117314;-0.090466;0.241110;1.503141;0.440236;0.820333;-0.527647;-0.062342;-0.211555;0.239029;1.550470;0.499348;0.662197;0.732626;-0.141879;-0.067998;0.229220;1.518248;0.472353;0.161995;0.969207;-0.185184;-0.010145;2023/04/28 09:25:54.4898;0.216703;1.533826;0.501204;0.109791;0.990273;-0.080974;-0.027350;0.225189;1.563674;0.459105;0.998462;-0.010004;-0.037115;-0.039964;0.231605;1.504068;0.436172;0.819505;-0.568403;-0.062362;0.037954;0.221789;1.564738;0.505340;0.658060;0.747890;-0.078170;-0.038832;0.214629;1.525772;0.473430;0.109791;0.990273;-0.080974;-0.027350;4fad4b11-e082-4450-bc91-cd45055286dd;0.167367;1.525876;0.519406;0.597653;0.098737;0.456977;0.651332;0.183737;1.493734;0.452083;0.509770;-0.267918;0.008098;0.817490;0.167121;1.504806;0.485190;0.623363;-0.174109;0.209623;0.732914;0.186048;1.540686;0.536403;0.597653;0.098737;0.456977;0.651332;88;0.220040;1.465877;0.414110;0.819505;-0.568403;-0.062362;0.037954
NA;36584;9;-0.023995;1.584144;0.107954;0.972275;0.227614;0.048944;-0.021839;0.177669;1.547774;0.505606;0.286551;0.955459;0.070469;-0.004662;0.175185;1.564666;0.460431;0.988504;-0.132182;0.007337;0.073033;0.192789;1.499453;0.442584;0.819458;-0.568269;-0.062468;0.040711;0.174969;1.576500;0.503950;0.726736;0.685190;0.043288;0.022282;0.179022;1.532235;0.484031;0.286551;0.955459;0.070469;-0.004662;0.199572;1.544662;0.505244;0.160341;0.983199;0.042932;-0.075940;0.200935;1.569846;0.456428;0.997190;-0.074040;-0.009393;0.006558;0.212249;1.501113;0.439073;0.819458;-0.568269;-0.062468;0.040711;0.199929;1.577378;0.506905;0.688952;0.724766;-0.007693;-0.000207;0.196057;1.533852;0.477784;0.160341;0.983199;0.042932;-0.075940;0.210410;1.517843;0.435374;0.819458;-0.568269;-0.062468;0.040711;0.231885;1.527611;0.496834;0.163796;0.969297;-0.183042;-0.011390;0.247266;1.551668;0.463985;0.989034;0.024921;-0.115612;-0.088460;0.240858;1.503207;0.440376;0.820871;-0.527883;-0.062373;-0.208856;0.238751;1.550614;0.499494;0.663576;0.731875;-0.139345;-0.067882;0.228965;1.518275;0.472625;0.163796;0.969297;-0.183042;-0.011390;2023/04/28 09:25:54.5009;0.216487;1.533861;0.501460;0.110795;0.990307;-0.078721;-0.028634;0.224711;1.563668;0.459283;0.998593;-0.010888;-0.035564;-0.037800;0.231337;1.504089;0.436341;0.819458;-0.568269;-0.062468;0.040711;0.221456;1.564801;0.505527;0.658914;0.747419;-0.075562;-0.038570;0.214358;1.525752;0.473707;0.110795;0.990307;-0.078721;-0.028634;4fad4b11-e082-4450-bc91-cd45055286dd;0.167316;1.525546;0.519818;0.595089;0.098841;0.457823;0.653068;0.183574;1.493536;0.452404;0.507812;-0.266095;0.008143;0.819301;0.167036;1.504501;0.485586;0.621176;-0.172908;0.210173;0.734895;0.185969;1.540439;0.536773;0.595089;0.098841;0.457823;0.653068;100;0.219885;1.465840;0.414320;0.819458;-0.568269;-0.062468;0.040711
NA;36585;10;-0.023832;1.584500;0.107910;0.972381;0.227145;0.048832;-0.022270;0.177185;1.547677;0.505701;0.287952;0.955107;0.069540;-0.004268;0.174780;1.564576;0.460483;0.988576;-0.132157;0.006863;0.072149;0.192331;1.499350;0.442634;0.819574;-0.568144;-0.062648;0.039819;0.174532;1.576405;0.504004;0.727239;0.684723;0.042288;0.022122;0.178547;1.532074;0.484172;0.287952;0.955107;0.069540;-0.004268;0.199084;1.544572;0.505346;0.160684;0.983217;0.042190;-0.075404;0.200542;1.569726;0.456515;0.997165;-0.074348;-0.010000;0.005891;0.211797;1.500988;0.439147;0.819574;-0.568144;-0.062648;0.039819;0.199479;1.577289;0.506987;0.689167;0.724551;-0.008597;-0.000158;0.195591;1.533747;0.477889;0.160684;0.983217;0.042190;-0.075404;0.209979;1.517721;0.435449;0.819574;-0.568144;-0.062648;0.039819;0.231389;1.527466;0.496978;0.164280;0.969088;-0.183747;-0.010891;0.246841;1.551486;0.464124;0.988917;0.024618;-0.116249;-0.089011;0.240402;1.503044;0.440484;0.820822;-0.527597;-0.062522;-0.209722;0.238281;1.550463;0.499623;0.663811;0.731504;-0.140201;-0.067825;0.228482;1.518105;0.472777;0.164280;0.969088;-0.183747;-0.010891;2023/04/28 09:25:54.5132;0.215992;1.533743;0.501581;0.111023;0.990238;-0.079460;-0.028092;0.224307;1.563517;0.459399;0.998543;-0.011150;-0.036170;-0.038466;0.230887;1.503940;0.436437;0.819574;-0.568144;-0.062648;0.039819;0.220997;1.564678;0.505637;0.659031;0.747225;-0.076471;-0.038540;0.213885;1.525620;0.473830;0.111023;0.990238;-0.079460;-0.028092;4fad4b11-e082-4450-bc91-cd45055286dd;0.166844;1.525418;0.519874;0.595571;0.099051;0.457212;0.653025;0.183100;1.493441;0.452445;0.508403;-0.266116;0.007843;0.818931;0.166557;1.504399;0.485626;0.621736;-0.172743;0.209820;0.734562;0.185496;1.540277;0.536859;0.595571;0.099051;0.457212;0.653025;112;0.219416;1.465716;0.414383;0.819574;-0.568144;-0.062648;0.039819
