,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.050142,1.68052,4.9e-05,0.984793,0.171119,0.013917,-0.026601,0.093718,1.610339,0.355501,0.893698,-0.439909,-0.085458,-0.021944,0.1063,1.558534,0.318225,0.875032,-0.47354,-0.096892,0.026297,0.122382,1.512975,0.279671,0.919478,-0.381595,-0.094194,0.008551,0.098576,1.591247,0.339385,0.903628,-0.415815,-0.102516,0.006756,0.09102,1.629509,0.368727,0.893698,-0.439909,-0.085458,-0.021944,0.127847,1.606995,0.377107,0.977024,-0.193464,-0.034726,-0.082407,0.129093,1.563822,0.318266,0.929734,-0.366721,-0.016707,-0.028842,0.139625,1.514954,0.278874,0.919478,-0.381595,-0.094194,0.008551,0.128648,1.59452,0.351104,0.974257,-0.221003,-0.022908,-0.038161,0.127432,1.618066,0.400819,0.977024,-0.193464,-0.034726,-0.082407,0.139058,1.529781,0.282872,0.919478,-0.381595,-0.094194,0.008551,0.157851,1.527253,0.360931,0.620055,0.738547,-0.201001,-0.172276,0.169607,1.545909,0.320053,0.984569,0.026878,-0.052955,-0.164615,0.165708,1.515843,0.283089,0.912071,-0.334261,-0.040989,-0.233917,0.165968,1.544767,0.351997,0.820723,0.527182,-0.109906,-0.190825,0.145958,1.507757,0.358245,0.620055,0.738547,-0.201001,-0.172276,0.143794,1.547796,0.377516,0.715148,0.680592,-0.121264,-0.103212,0.149906,1.557527,0.319521,0.988602,-0.125546,-0.011954,-0.082232,0.157542,1.518149,0.279692,0.919478,-0.381595,-0.094194,0.008551,0.149784,1.567745,0.35906,0.90603,0.403888,-0.072663,-0.103459,0.136023,1.523639,0.380331,0.715148,0.680592,-0.121264,-0.103212,0.088902,1.511236,0.345121,0.622378,0.171493,0.273596,0.713009,0.112832,1.505092,0.283565,0.56591,-0.256413,-0.198026,0.758145,0.091962,1.50475,0.310466,0.682995,-0.094854,0.037139,0.723285,0.102999,1.516394,0.366085,0.622378,0.171493,0.273596,0.713009,11,0.149022,1.49574,0.247478,0.919478,-0.381595,-0.094194,0.008551,32,V,Static,Right
1,2,0.049886,1.680768,0.000136,0.984892,0.170609,0.01364,-0.026336,0.094004,1.610881,0.355143,0.892434,-0.442551,-0.085284,-0.020904,0.106611,1.558895,0.318128,0.873885,-0.475643,-0.09662,0.027434,0.122706,1.513146,0.279809,0.918511,-0.383989,-0.093801,0.009602,0.098867,1.591703,0.339133,0.902473,-0.418364,-0.10224,0.007849,0.091298,1.630127,0.368258,0.892434,-0.442551,-0.085284,-0.020904,0.128187,1.607951,0.376551,0.975796,-0.199963,-0.034461,-0.081548,0.129398,1.56421,0.318111,0.928225,-0.3706,-0.016424,-0.028009,0.139946,1.515145,0.278975,0.918511,-0.383989,-0.093801,0.009602,0.128961,1.59518,0.350693,0.97301,-0.226599,-0.022493,-0.037405,0.127806,1.619334,0.400117,0.975796,-0.199963,-0.034461,-0.081548,0.139357,1.529992,0.282886,0.918511,-0.383989,-0.093801,0.009602,0.158248,1.527907,0.360918,0.621806,0.737304,-0.200713,-0.171623,0.169936,1.546355,0.31994,0.984784,0.024045,-0.052834,-0.163804,0.166025,1.516087,0.283143,0.91134,-0.336825,-0.041221,-0.233042,0.166335,1.545389,0.351894,0.822149,0.525221,-0.109688,-0.190219,0.14638,1.508383,0.358322,0.621806,0.737304,-0.200713,-0.171623,0.144224,1.548691,0.377472,0.718452,0.67724,-0.120668,-0.103012,0.15022,1.557947,0.319372,0.988143,-0.129567,-0.011466,-0.081574,0.157851,1.518365,0.279744,0.918511,-0.383989,-0.093801,0.009602,0.150158,1.56848,0.358828,0.907936,0.399795,-0.072023,-0.103095,0.136483,1.524553,0.380527,0.718452,0.67724,-0.120668,-0.103012,0.089409,1.511721,0.345351,0.621896,0.170961,0.277018,0.712235,0.113178,1.505269,0.28377,0.564897,-0.256907,-0.195418,0.759409,0.092375,1.505046,0.310724,0.682178,-0.095705,0.040099,0.723786,0.103584,1.517017,0.366227,0.621896,0.170961,0.277018,0.712235,21,0.149317,1.495775,0.247662,0.918511,-0.383989,-0.093801,0.009602,32,V,Static,Right
2,3,0.049737,1.681123,0.000205,0.984991,0.17014,0.013266,-0.025878,0.094259,1.611376,0.354807,0.891232,-0.44504,-0.085136,-0.019945,0.106892,1.559219,0.318038,0.872803,-0.477614,-0.096379,0.028484,0.123003,1.513297,0.27994,0.917608,-0.3862,-0.093455,0.010582,0.099129,1.592116,0.338898,0.901372,-0.42077,-0.101995,0.008858,0.091545,1.630693,0.367815,0.891232,-0.44504,-0.085136,-0.019945,0.128491,1.60885,0.376014,0.974552,-0.206296,-0.034241,-0.080737,0.129672,1.564561,0.317967,0.926745,-0.374353,-0.016182,-0.027233,0.140239,1.515315,0.279072,0.917608,-0.3862,-0.093455,0.010582,0.129241,1.595792,0.350299,0.971761,-0.232043,-0.022128,-0.036696,0.12814,1.620535,0.399432,0.974552,-0.206296,-0.034241,-0.080737,0.139629,1.53018,0.282901,0.917608,-0.3862,-0.093455,0.010582,0.158605,1.528502,0.360903,0.623357,0.736219,-0.200454,-0.170961,0.170232,1.546761,0.319837,0.984978,0.021438,-0.05276,-0.16302,0.166313,1.516307,0.283195,0.910661,-0.339191,-0.041452,-0.232223,0.166664,1.545956,0.3518,0.823434,0.523464,-0.109509,-0.189607,0.146762,1.508953,0.358386,0.623357,0.736219,-0.200454,-0.170961,0.144616,1.549533,0.377434,0.721653,0.673957,-0.120118,-0.102817,0.150503,1.558327,0.319235,0.987681,-0.133455,-0.011012,-0.080959,0.158133,1.518559,0.279795,0.917608,-0.3862,-0.093455,0.010582,0.150497,1.569166,0.358608,0.90977,0.395802,-0.071429,-0.102751,0.136903,1.525416,0.38072,0.721653,0.673957,-0.120118,-0.102817,0.089885,1.512162,0.345569,0.621392,0.170579,0.280317,0.711475,0.113497,1.505425,0.283964,0.563943,-0.257312,-0.192971,0.760606,0.092759,1.505312,0.310968,0.681393,-0.096422,0.042915,0.724269,0.10414,1.517587,0.366358,0.621392,0.170579,0.280317,0.711475,33,0.149586,1.4958,0.247834,0.917608,-0.3862,-0.093455,0.010582,32,V,Static,Right
3,4,0.0496,1.681461,0.000326,0.985191,0.169081,0.012812,-0.025442,0.094894,1.610173,0.35674,0.893662,-0.440384,-0.083409,-0.021754,0.107265,1.558383,0.319368,0.875599,-0.472876,-0.094877,0.026694,0.123117,1.512816,0.280742,0.919831,-0.381324,-0.091814,0.008569,0.099663,1.591073,0.340609,0.903797,-0.415944,-0.100467,0.006928,0.092277,1.629359,0.369961,0.893662,-0.440384,-0.083409,-0.021754,0.129194,1.607257,0.377872,0.975511,-0.201206,-0.03231,-0.082763,0.130067,1.563632,0.319311,0.928923,-0.368869,-0.014271,-0.028875,0.140361,1.514775,0.27986,0.919831,-0.381324,-0.091814,0.008569,0.129833,1.594476,0.352014,0.972951,-0.226847,-0.02039,-0.038627,0.128943,1.61869,0.401414,0.975511,-0.201206,-0.03231,-0.082763,0.139815,1.529599,0.283849,0.919831,-0.381324,-0.091814,0.008569,0.158926,1.526949,0.361763,0.618073,0.739939,-0.200535,-0.173961,0.170558,1.545647,0.320904,0.984541,0.026986,-0.05094,-0.165394,0.166441,1.515614,0.283937,0.912077,-0.334488,-0.03858,-0.233978,0.167043,1.54448,0.352862,0.819893,0.528129,-0.108767,-0.19242,0.146999,1.507486,0.358992,0.618073,0.739939,-0.200535,-0.173961,0.145059,1.54784,0.378571,0.717368,0.67807,-0.120222,-0.1056,0.150874,1.5573,0.320469,0.988298,-0.127694,-0.009347,-0.082906,0.158264,1.517937,0.280578,0.919831,-0.381324,-0.091814,0.008569,0.150984,1.56767,0.359968,0.90727,0.40093,-0.070779,-0.105388,0.137253,1.523717,0.381573,0.717368,0.67807,-0.120222,-0.1056,0.09014,1.511072,0.346442,0.621605,0.174477,0.275672,0.71216,0.113591,1.504938,0.284704,0.567049,-0.253507,-0.195983,0.758802,0.092924,1.5046,0.311761,0.6832,-0.091844,0.039666,0.723346,0.1044,1.516206,0.367301,0.621605,0.174477,0.275672,0.71216,44,0.149562,1.495567,0.248386,0.919831,-0.381324,-0.091814,0.008569,32,V,Static,Right
4,5,0.049481,1.681788,0.000444,0.98539,0.168023,0.012417,-0.024905,0.094843,1.60962,0.357487,0.894961,-0.437656,-0.083425,-0.023288,0.107152,1.558065,0.31977,0.877259,-0.469846,-0.095017,0.025168,0.122984,1.512751,0.280829,0.921093,-0.378164,-0.092344,0.007172,0.099591,1.590617,0.341235,0.905116,-0.413053,-0.100614,0.005361,0.092251,1.628728,0.370825,0.894961,-0.437656,-0.083425,-0.023288,0.12904,1.606389,0.378719,0.97644,-0.196127,-0.03277,-0.083822,0.129963,1.563277,0.31979,0.930378,-0.365076,-0.014748,-0.029968,0.140232,1.514682,0.279997,0.921093,-0.378164,-0.092344,0.007172,0.129713,1.593855,0.352742,0.973976,-0.222168,-0.021003,-0.03963,0.128755,1.61758,0.402377,0.97644,-0.196127,-0.03277,-0.083822,0.139718,1.529479,0.284106,0.921093,-0.378164,-0.092344,0.007172,0.158671,1.52622,0.361999,0.614199,0.742919,-0.201193,-0.174221,0.170421,1.545216,0.321327,0.984261,0.030831,-0.051404,-0.166244,0.166322,1.515451,0.284142,0.913026,-0.3311,-0.038286,-0.235139,0.166836,1.543814,0.353267,0.81737,0.531763,-0.109388,-0.192791,0.146724,1.506801,0.359011,0.614199,0.742919,-0.201193,-0.174221,0.144812,1.546991,0.37896,0.714607,0.680785,-0.121004,-0.105956,0.150757,1.556903,0.320939,0.988735,-0.123616,-0.009908,-0.083806,0.158154,1.517811,0.280785,0.921093,-0.378164,-0.092344,0.007172,0.150803,1.566954,0.360521,0.905582,0.404446,-0.071538,-0.105957,0.136965,1.522857,0.381765,0.714607,0.680785,-0.121004,-0.105956,0.089725,1.510669,0.346375,0.622639,0.175389,0.271831,0.712508,0.113424,1.504867,0.284697,0.568547,-0.25353,-0.199252,0.756819,0.092643,1.504414,0.311665,0.684609,-0.091162,0.03595,0.722294,0.103912,1.515627,0.367326,0.622639,0.175389,0.271831,0.712508,55,0.149473,1.495682,0.248421,0.921093,-0.378164,-0.092344,0.007172,32,V,Static,Right
5,6,0.049396,1.682149,0.000635,0.985575,0.167059,0.011955,-0.024313,0.0948,1.609115,0.358164,0.896105,-0.43524,-0.083383,-0.024697,0.107047,1.557771,0.320137,0.878751,-0.467108,-0.095087,0.023775,0.122861,1.512691,0.28091,0.922226,-0.375296,-0.092831,0.005911,0.099527,1.590199,0.341805,0.906287,-0.410475,-0.10069,0.003923,0.092234,1.628154,0.371605,0.896105,-0.43524,-0.083383,-0.024697,0.128893,1.605586,0.379491,0.977292,-0.191344,-0.03321,-0.084767,0.129865,1.56295,0.320227,0.931693,-0.361606,-0.015202,-0.030946,0.140112,1.514595,0.280125,0.922226,-0.375296,-0.092831,0.005911,0.129598,1.593284,0.353404,0.974914,-0.217796,-0.021584,-0.040522,0.128575,1.616548,0.403256,0.977292,-0.191344,-0.03321,-0.084767,0.139629,1.529367,0.284343,0.922226,-0.375296,-0.092831,0.005911,0.158434,1.525554,0.362209,0.610581,0.74569,-0.2018,-0.174396,0.170295,1.544822,0.321713,0.983996,0.034342,-0.051862,-0.166983,0.166213,1.5153,0.284332,0.913877,-0.328025,-0.038028,-0.236182,0.166643,1.543205,0.353635,0.815023,0.53513,-0.109977,-0.193076,0.146472,1.506176,0.359018,0.610581,0.74569,-0.2018,-0.174396,0.144585,1.546214,0.379314,0.712111,0.683223,-0.121708,-0.106262,0.150649,1.556539,0.321368,0.989122,-0.11988,-0.010433,-0.084607,0.158054,1.517693,0.280978,0.922226,-0.375296,-0.092831,0.005911,0.150634,1.566296,0.361024,0.904041,0.407628,-0.072228,-0.106455,0.136701,1.522072,0.381941,0.712111,0.683223,-0.121708,-0.106262,0.089323,1.510316,0.3463,0.623686,0.176148,0.268331,0.712732,0.113268,1.504803,0.284689,0.569925,-0.253736,-0.202254,0.754915,0.092375,1.504253,0.311567,0.685952,-0.090696,0.032509,0.72124,0.103442,1.515114,0.367334,0.623686,0.176148,0.268331,0.712732,66,0.149393,1.495784,0.248459,0.922226,-0.375296,-0.092831,0.005911,32,V,Static,Right
6,7,0.049418,1.682282,0.000762,0.985789,0.165884,0.01142,-0.023932,0.09406,1.60871,0.358433,0.896199,-0.434618,-0.085571,-0.024764,0.106555,1.557426,0.320407,0.878736,-0.466691,-0.097293,0.023608,0.122474,1.512374,0.281195,0.922265,-0.374944,-0.093875,0.00556,0.098889,1.589821,0.342072,0.906305,-0.409891,-0.10289,0.003905,0.091405,1.62773,0.371884,0.896199,-0.434618,-0.085571,-0.024764,0.12822,1.60524,0.379813,0.977263,-0.191276,-0.034524,-0.084727,0.129372,1.56261,0.32055,0.931678,-0.361569,-0.016522,-0.031153,0.139727,1.514287,0.280445,0.922265,-0.374944,-0.093875,0.00556,0.129001,1.592943,0.353726,0.974919,-0.217635,-0.022923,-0.040527,0.127834,1.616205,0.403576,0.977263,-0.191276,-0.034524,-0.084727,0.139221,1.529056,0.284662,0.922265,-0.374944,-0.093875,0.00556,0.157871,1.525215,0.362577,0.610151,0.746048,-0.202353,-0.173728,0.169802,1.544488,0.32211,0.983951,0.034504,-0.052696,-0.166953,0.165808,1.514994,0.284699,0.913983,-0.327418,-0.038966,-0.236462,0.166096,1.54287,0.354026,0.814805,0.535482,-0.110701,-0.192605,0.145915,1.50584,0.359351,0.610151,0.746048,-0.202353,-0.173728,0.143977,1.545967,0.379704,0.713211,0.682085,-0.122357,-0.105449,0.150154,1.556202,0.321732,0.989052,-0.120374,-0.011533,-0.084581,0.157655,1.517388,0.281328,0.922265,-0.374944,-0.093875,0.00556,0.150054,1.566006,0.361376,0.904491,0.406619,-0.073111,-0.105889,0.136095,1.521833,0.382403,0.713211,0.682085,-0.122357,-0.105449,0.088926,1.509979,0.346557,0.623721,0.175774,0.267776,0.713003,0.112884,1.504477,0.284963,0.569792,-0.254008,-0.202588,0.754834,0.091967,1.503919,0.311823,0.685938,-0.09055,0.032577,0.721269,0.103015,1.514772,0.367613,0.623721,0.175774,0.267776,0.713003,77,0.149069,1.495501,0.248775,0.922265,-0.374944,-0.093875,0.00556,32,V,Static,Right
7,8,0.049335,1.682483,0.000929,0.985928,0.165095,0.011014,-0.023859,0.093254,1.608366,0.358031,0.895883,-0.434976,-0.087787,-0.022002,0.106163,1.557132,0.320078,0.878291,-0.4669,-0.099588,0.026303,0.122401,1.512123,0.280954,0.921962,-0.375254,-0.095404,0.008295,0.098239,1.589499,0.341692,0.906056,-0.409864,-0.105022,0.006769,0.090448,1.627387,0.371449,0.895883,-0.434976,-0.087787,-0.022002,0.127439,1.605047,0.379495,0.977843,-0.189394,-0.035828,-0.081672,0.128948,1.562455,0.320233,0.931602,-0.361912,-0.018278,-0.028343,0.139643,1.514146,0.280211,0.921962,-0.375254,-0.095404,0.008295,0.128339,1.592816,0.353381,0.97528,-0.216417,-0.024303,-0.03745,0.12694,1.615926,0.403295,0.977843,-0.189394,-0.035828,-0.081672,0.139032,1.528916,0.284397,0.921962,-0.375254,-0.095404,0.008295,0.157659,1.525332,0.362376,0.612584,0.745084,-0.200221,-0.171761,0.169487,1.544584,0.32185,0.98447,0.033692,-0.052961,-0.16395,0.165704,1.515018,0.284474,0.914476,-0.327791,-0.040503,-0.233767,0.165777,1.543009,0.353768,0.816231,0.534519,-0.109359,-0.189991,0.145817,1.50587,0.359255,0.612584,0.745084,-0.200221,-0.171761,0.14361,1.546031,0.379441,0.714812,0.681107,-0.120598,-0.102921,0.149768,1.556177,0.321441,0.989181,-0.121301,-0.012378,-0.08157,0.157541,1.517357,0.281093,0.921962,-0.375254,-0.095404,0.008295,0.149576,1.56606,0.361064,0.90531,0.405712,-0.072293,-0.102884,0.135874,1.521859,0.382229,0.714812,0.681107,-0.120598,-0.102921,0.088929,1.509611,0.346342,0.621503,0.174417,0.268759,0.7149,0.112868,1.504168,0.28474,0.567224,-0.253548,-0.202634,0.756908,0.091972,1.503517,0.311615,0.683535,-0.090809,0.03322,0.723485,0.102982,1.514524,0.367394,0.621503,0.174417,0.268759,0.7149,89,0.149116,1.495376,0.248561,0.921962,-0.375254,-0.095404,0.008295,32,V,Static,Right
8,9,0.04929,1.682646,0.001019,0.986038,0.164475,0.010545,-0.023781,0.092514,1.608011,0.357705,0.895722,-0.43502,-0.08979,-0.01944,0.105803,1.556853,0.319783,0.878037,-0.466779,-0.101683,0.028803,0.122336,1.511888,0.280738,0.921685,-0.375508,-0.096816,0.010794,0.097643,1.589178,0.341372,0.90597,-0.409499,-0.106956,0.009426,0.089569,1.627024,0.371106,0.895722,-0.43502,-0.08979,-0.01944,0.126716,1.60484,0.379221,0.978429,-0.187312,-0.037042,-0.078861,0.128557,1.562305,0.31995,0.931548,-0.362158,-0.019918,-0.025763,0.139566,1.514011,0.280001,0.921685,-0.375508,-0.096816,0.010794,0.127728,1.592683,0.353076,0.975657,-0.215037,-0.025595,-0.034613,0.126112,1.615623,0.403062,0.978429,-0.187312,-0.037042,-0.078861,0.138858,1.528782,0.28416,0.921685,-0.375508,-0.096816,0.010794,0.157463,1.525433,0.362201,0.614972,0.744053,-0.198249,-0.169978,0.169195,1.544664,0.321619,0.984936,0.032943,-0.053209,-0.161198,0.165608,1.515034,0.284273,0.914928,-0.3281,-0.041916,-0.2313,0.165481,1.543128,0.353538,0.817575,0.533561,-0.108124,-0.187598,0.145725,1.50589,0.359188,0.614972,0.744053,-0.198249,-0.169978,0.143269,1.546078,0.379205,0.716312,0.680161,-0.118993,-0.1006,0.149412,1.556145,0.32118,0.989293,-0.122125,-0.013163,-0.078813,0.157434,1.517324,0.280883,0.921685,-0.375508,-0.096816,0.010794,0.149134,1.566097,0.360786,0.906046,0.40489,-0.071554,-0.100127,0.135667,1.521874,0.382079,0.716312,0.680161,-0.118993,-0.1006,0.088938,1.509267,0.346153,0.619447,0.173203,0.269664,0.716636,0.112854,1.503879,0.284542,0.564869,-0.25309,-0.202669,0.758811,0.09198,1.503142,0.311431,0.681322,-0.09101,0.033825,0.725516,0.102959,1.51429,0.367201,0.619447,0.173203,0.269664,0.716636,100,0.149159,1.495259,0.24837,0.921685,-0.375508,-0.096816,0.010794,32,V,Static,Right
9,10,0.049188,1.682729,0.00109,0.986099,0.164137,0.009871,-0.023884,0.092474,1.607653,0.357963,0.895551,-0.434926,-0.091165,-0.022755,0.10572,1.556425,0.320119,0.877754,-0.467235,-0.102928,0.025394,0.122274,1.511366,0.281207,0.92141,-0.375837,-0.098459,0.007556,0.0976,1.588796,0.341655,0.905723,-0.409723,-0.108419,0.006129,0.089546,1.626672,0.371358,0.895551,-0.434926,-0.091165,-0.022755,0.126528,1.604264,0.379699,0.978261,-0.186513,-0.039287,-0.081699,0.128499,1.561768,0.320411,0.931483,-0.361983,-0.021636,-0.028984,0.13952,1.513417,0.280555,0.92141,-0.375837,-0.098459,0.007556,0.12763,1.59214,0.353543,0.975654,-0.214288,-0.027805,-0.037517,0.125841,1.615018,0.403552,0.978261,-0.186513,-0.039287,-0.081699,0.138836,1.528191,0.284683,0.92141,-0.375837,-0.098459,0.007556,0.156936,1.524634,0.362702,0.611362,0.746294,-0.202013,-0.16874,0.169042,1.543933,0.322307,0.984359,0.034553,-0.056471,-0.163265,0.165519,1.514315,0.284946,0.914228,-0.327629,-0.043673,-0.234393,0.165102,1.542338,0.354197,0.815326,0.536197,-0.112106,-0.187535,0.145139,1.505163,0.359463,0.611362,0.746294,-0.202013,-0.16874,0.142779,1.545336,0.379671,0.714034,0.681953,-0.122658,-0.100254,0.149316,1.555509,0.321758,0.989152,-0.121211,-0.015706,-0.081477,0.157375,1.516643,0.281511,0.92141,-0.375837,-0.098459,0.007556,0.148854,1.565406,0.361376,0.904714,0.40698,-0.075197,-0.101024,0.135049,1.521153,0.382377,0.714034,0.681953,-0.122658,-0.100254,0.088738,1.50898,0.346537,0.621477,0.173046,0.269503,0.714975,0.112756,1.503394,0.284994,0.56622,-0.25494,-0.202304,0.75728,0.091809,1.502791,0.311829,0.683033,-0.092016,0.033973,0.723771,0.102763,1.513966,0.367591,0.621477,0.173046,0.269503,0.714975,111,0.149174,1.494613,0.248955,0.92141,-0.375837,-0.098459,0.007556,32,V,Static,Right
