Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;79728;1;-0.041953;1.679212;0.012349;0.981155;0.186000;0.050814;0.012486;0.027211;1.625298;0.307111;0.815930;-0.018892;-0.551419;-0.172741;0.057965;1.576829;0.286380;0.704273;-0.422067;-0.422715;-0.383629;0.060062;1.515923;0.282802;0.636672;-0.485776;-0.407811;-0.438589;0.047247;1.613089;0.297680;0.795081;-0.145088;-0.540814;-0.233057;0.006849;1.631370;0.316662;0.815930;-0.018892;-0.551419;-0.172741;0.020712;1.569930;0.319348;0.334345;0.776409;-0.358568;0.396020;0.069159;1.573501;0.306482;0.788175;-0.136557;-0.546318;-0.248333;0.068563;1.511519;0.297345;0.636672;-0.485776;-0.407811;-0.438589;0.033723;1.595235;0.322820;0.620426;0.502623;-0.554921;0.233465;0.029624;1.548359;0.307880;0.334345;0.776409;-0.358568;0.396020;0.075312;1.524966;0.297262;0.636672;-0.485776;-0.407811;-0.438589;0.030677;1.545407;0.339945;0.204629;0.702369;-0.552810;0.399008;0.070623;1.547598;0.342078;0.717458;-0.025006;-0.628829;-0.298668;0.075569;1.505755;0.320150;0.591650;-0.312609;-0.414030;-0.617094;0.042259;1.560751;0.348724;0.522593;0.519128;-0.661970;0.138562;0.037094;1.528559;0.325912;0.204629;0.702369;-0.552810;0.399008;2023/04/27 11:31:18.5245;0.023792;1.554845;0.330191;0.242533;0.747984;-0.440936;0.432752;0.071518;1.562604;0.325028;0.773394;-0.060672;-0.579379;-0.250001;0.076527;1.508327;0.311493;0.636672;-0.485776;-0.407811;-0.438589;0.036386;1.578166;0.338064;0.560559;0.528399;-0.602643;0.208299;0.033372;1.535055;0.317537;0.242533;0.747984;-0.440936;0.432752;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.015071;1.573904;0.285835;0.738389;-0.590753;-0.089239;0.312777;0.048059;1.515257;0.278228;0.620827;-0.718824;-0.120506;0.288693;0.028957;1.543097;0.276115;0.769450;-0.594624;-0.090568;0.214866;0.002413;1.595307;0.291997;0.738389;-0.590753;-0.089239;0.312777;6;0.081465;1.476430;0.288041;0.636672;-0.485776;-0.407811;-0.438589
NA;79729;2;-0.041813;1.679568;0.012375;0.981420;0.184562;0.050995;0.012264;0.026230;1.625203;0.306873;0.816166;-0.017775;-0.551638;-0.171035;0.057161;1.576844;0.286167;0.704791;-0.421435;-0.423583;-0.382413;0.059540;1.515947;0.282628;0.637488;-0.484832;-0.409208;-0.437145;0.046318;1.613071;0.297452;0.795424;-0.144057;-0.541266;-0.231473;0.005840;1.631193;0.316414;0.816166;-0.017775;-0.551638;-0.171035;0.019930;1.569729;0.319100;0.333219;0.777194;-0.356442;0.397347;0.068359;1.573576;0.306277;0.788635;-0.135009;-0.547068;-0.246056;0.068057;1.511589;0.297176;0.637488;-0.484832;-0.409208;-0.437145;0.032786;1.595112;0.322579;0.619528;0.504108;-0.553671;0.235606;0.028973;1.548204;0.307647;0.333219;0.777194;-0.356442;0.397347;0.074745;1.525066;0.297080;0.637488;-0.484832;-0.409208;-0.437145;0.030031;1.545258;0.339695;0.202468;0.704034;-0.550119;0.400888;0.069926;1.547694;0.341884;0.717960;-0.023356;-0.629389;-0.296407;0.075079;1.505866;0.319975;0.592918;-0.311593;-0.415046;-0.615707;0.041480;1.560692;0.348489;0.521532;0.521280;-0.660552;0.141219;0.036621;1.528456;0.325688;0.202468;0.704034;-0.550119;0.400888;2023/04/27 11:31:18.5393;0.023068;1.554645;0.329944;0.241554;0.748889;-0.438917;0.433785;0.070759;1.562697;0.324829;0.773834;-0.058909;-0.580065;-0.247460;0.076030;1.508439;0.311318;0.637488;-0.484832;-0.409208;-0.437145;0.035516;1.578045;0.337817;0.559793;0.529924;-0.601286;0.210400;0.032759;1.534896;0.317312;0.241554;0.748889;-0.438917;0.433785;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.014251;1.573695;0.285697;0.737878;-0.590083;-0.090466;0.314889;0.047538;1.515223;0.278060;0.620143;-0.718393;-0.122203;0.290517;0.028290;1.542963;0.275962;0.768977;-0.594241;-0.091879;0.217050;0.001492;1.595030;0.291889;0.737878;-0.590083;-0.090466;0.314889;21;0.081130;1.476556;0.287882;0.637488;-0.484832;-0.409208;-0.437145
NA;79730;3;-0.041582;1.679957;0.012466;0.981729;0.182742;0.051631;0.012191;0.026044;1.625113;0.306495;0.813734;-0.015902;-0.555289;-0.170994;0.057166;1.576799;0.286010;0.703115;-0.419352;-0.426462;-0.384582;0.059594;1.515908;0.282419;0.636054;-0.482358;-0.411838;-0.439494;0.046229;1.613015;0.297240;0.793159;-0.142136;-0.544792;-0.232160;0.005558;1.631058;0.315857;0.813734;-0.015902;-0.555289;-0.170994;0.019697;1.569481;0.318544;0.329247;0.776539;-0.356634;0.401741;0.068186;1.573507;0.306215;0.786462;-0.132327;-0.550800;-0.246143;0.067985;1.511533;0.297036;0.636054;-0.482358;-0.411838;-0.439494;0.032399;1.594915;0.322215;0.615542;0.504948;-0.555928;0.238913;0.028971;1.548036;0.307127;0.329247;0.776539;-0.356634;0.401741;0.074669;1.525012;0.297008;0.636054;-0.482358;-0.411838;-0.439494;0.029614;1.545034;0.339198;0.197305;0.703388;-0.549954;0.404807;0.069441;1.547576;0.341799;0.715243;-0.020370;-0.632583;-0.296398;0.074805;1.505780;0.319879;0.591367;-0.308350;-0.417324;-0.617289;0.040902;1.560494;0.348155;0.516982;0.522532;-0.662467;0.144320;0.036455;1.528303;0.325226;0.197305;0.703388;-0.549954;0.404807;2023/04/27 11:31:18.5536;0.022764;1.554377;0.329381;0.236884;0.748064;-0.438591;0.438093;0.070422;1.562603;0.324772;0.771387;-0.056092;-0.583725;-0.247147;0.075833;1.508365;0.311234;0.636054;-0.482358;-0.411838;-0.439494;0.035007;1.577822;0.337441;0.555388;0.530973;-0.603184;0.213966;0.032712;1.534718;0.316808;0.236884;0.748064;-0.438591;0.438093;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.014237;1.573604;0.285277;0.738703;-0.589589;-0.093685;0.312931;0.047629;1.515186;0.277754;0.620175;-0.718913;-0.125271;0.287844;0.028372;1.542912;0.275553;0.769431;-0.593845;-0.095243;0.215067;0.001426;1.594907;0.291472;0.738703;-0.589589;-0.093685;0.312931;36;0.081153;1.476516;0.287801;0.636054;-0.482358;-0.411838;-0.439494
NA;79731;4;-0.040849;1.680734;0.012753;0.981985;0.181116;0.052350;0.012723;0.026016;1.625476;0.305251;0.813210;-0.018230;-0.556095;-0.170631;0.057064;1.577008;0.285016;0.701560;-0.421119;-0.427290;-0.384572;0.059561;1.516103;0.281734;0.634726;-0.483276;-0.413773;-0.438589;0.046186;1.613295;0.296072;0.792297;-0.144343;-0.545598;-0.231847;0.005533;1.631507;0.314563;0.813210;-0.018230;-0.556095;-0.170631;0.019579;1.569699;0.317479;0.328855;0.776394;-0.354463;0.404257;0.068049;1.573827;0.305256;0.785927;-0.132827;-0.552337;-0.244130;0.067932;1.511809;0.296387;0.634726;-0.483276;-0.413773;-0.438589;0.032167;1.595198;0.321093;0.615215;0.504687;-0.555277;0.241805;0.028998;1.548269;0.306153;0.328855;0.776394;-0.354463;0.404257;0.074602;1.525294;0.296299;0.634726;-0.483276;-0.413773;-0.438589;0.029461;1.545367;0.338258;0.196985;0.703461;-0.547894;0.407617;0.069266;1.548072;0.340969;0.714791;-0.020288;-0.634343;-0.293720;0.074716;1.506174;0.319265;0.590557;-0.308990;-0.419557;-0.616230;0.040660;1.560910;0.347183;0.516769;0.522503;-0.661933;0.147599;0.036423;1.528606;0.324381;0.196985;0.703461;-0.547894;0.407617;2023/04/27 11:31:18.5715;0.022617;1.554669;0.328398;0.237211;0.747697;-0.436862;0.440264;0.070262;1.563017;0.323871;0.770922;-0.056503;-0.585254;-0.244876;0.075757;1.508719;0.310609;0.634726;-0.483276;-0.413773;-0.438589;0.034771;1.578181;0.336391;0.555431;0.530453;-0.602641;0.216657;0.032654;1.534988;0.315929;0.237211;0.747697;-0.436862;0.440264;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.014110;1.573724;0.284336;0.738711;-0.589247;-0.093277;0.313677;0.047604;1.515345;0.277057;0.618200;-0.720375;-0.125614;0.288290;0.028298;1.543026;0.274708;0.768336;-0.594962;-0.095496;0.215780;0.001296;1.595018;0.290555;0.738711;-0.589247;-0.093277;0.313677;53;0.081156;1.476761;0.287342;0.634726;-0.483276;-0.413773;-0.438589
NA;79732;5;-0.040440;1.680805;0.012776;0.982106;0.180225;0.052960;0.013533;0.026010;1.625649;0.304663;0.812946;-0.019422;-0.556453;-0.170595;0.057013;1.577101;0.284543;0.700810;-0.421962;-0.427636;-0.384632;0.059547;1.516191;0.281407;0.634098;-0.483687;-0.414713;-0.438155;0.046169;1.613423;0.295519;0.791866;-0.145454;-0.545943;-0.231812;0.005530;1.631726;0.313954;0.812946;-0.019422;-0.556453;-0.170595;0.019518;1.569802;0.316974;0.328678;0.776312;-0.353481;0.405416;0.067981;1.573974;0.304801;0.785665;-0.133065;-0.553054;-0.243218;0.067907;1.511935;0.296078;0.634098;-0.483687;-0.414713;-0.438155;0.032056;1.595329;0.320561;0.615079;0.504527;-0.555001;0.243114;0.029003;1.548379;0.305691;0.328678;0.776312;-0.353481;0.405416;0.074570;1.525424;0.295962;0.634098;-0.483687;-0.414713;-0.438155;0.029382;1.545520;0.337810;0.196945;0.703449;-0.546979;0.408885;0.069179;1.548302;0.340575;0.714568;-0.020230;-0.635196;-0.292421;0.074673;1.506358;0.318972;0.590178;-0.309266;-0.420632;-0.615721;0.040541;1.561100;0.346719;0.516716;0.522429;-0.661695;0.149108;0.036394;1.528743;0.323979;0.196945;0.703449;-0.546979;0.408885;2023/04/27 11:31:18.5873;0.022537;1.554808;0.327933;0.237483;0.747466;-0.436158;0.441206;0.070183;1.563208;0.323443;0.770693;-0.056714;-0.585966;-0.243846;0.075721;1.508883;0.310312;0.634098;-0.483687;-0.414713;-0.438155;0.034658;1.578350;0.335894;0.555518;0.530119;-0.602435;0.217821;0.032608;1.535114;0.315514;0.237483;0.747466;-0.436158;0.441206;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.014050;1.573774;0.283882;0.738764;-0.589027;-0.093104;0.314018;0.047594;1.515416;0.276723;0.617242;-0.721085;-0.125822;0.288474;0.028265;1.543074;0.274302;0.767808;-0.595499;-0.095664;0.216103;0.001234;1.595062;0.290115;0.738764;-0.589027;-0.093104;0.314018;70;0.081160;1.476875;0.287124;0.634098;-0.483687;-0.414713;-0.438155
NA;79733;6;-0.039717;1.680932;0.012759;0.982246;0.179144;0.053640;0.014905;0.026216;1.625011;0.305705;0.813466;-0.018013;-0.554944;-0.173167;0.057219;1.576579;0.285197;0.702911;-0.419444;-0.426107;-0.385247;0.059849;1.515696;0.281731;0.636371;-0.481501;-0.413382;-0.438525;0.046333;1.612805;0.296444;0.792706;-0.143828;-0.544240;-0.233953;0.005774;1.631086;0.315080;0.813466;-0.018013;-0.554944;-0.173167;0.019921;1.568761;0.317533;0.321312;0.780196;-0.350734;0.406249;0.068220;1.573343;0.305421;0.787018;-0.128423;-0.552136;-0.243426;0.068256;1.511367;0.296358;0.636371;-0.481501;-0.413382;-0.438525;0.032195;1.594378;0.321380;0.611133;0.510267;-0.553837;0.243742;0.029712;1.547595;0.306026;0.321312;0.780196;-0.350734;0.406249;0.074897;1.524865;0.296260;0.636371;-0.481501;-0.413382;-0.438525;0.029774;1.544386;0.338192;0.191037;0.706485;-0.545138;0.408911;0.069517;1.547444;0.341026;0.715394;-0.015109;-0.634456;-0.292316;0.075069;1.505651;0.319146;0.592076;-0.307331;-0.418579;-0.616268;0.040783;1.559991;0.347242;0.513432;0.527161;-0.660476;0.149200;0.037012;1.527796;0.324250;0.191037;0.706485;-0.545138;0.408911;2023/04/27 11:31:18.6017;0.022978;1.553694;0.328374;0.230598;0.750706;-0.433729;0.441752;0.070469;1.562462;0.323990;0.771657;-0.051883;-0.585188;-0.243738;0.076101;1.508234;0.310501;0.636371;-0.481501;-0.413382;-0.438525;0.034850;1.577286;0.336557;0.551656;0.535329;-0.601157;0.218424;0.033334;1.534245;0.315804;0.230598;0.750706;-0.433729;0.441752;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.014255;1.573090;0.285184;0.744482;-0.580380;-0.091652;0.317026;0.047866;1.514928;0.277122;0.620377;-0.717283;-0.126039;0.291124;0.028448;1.542552;0.275067;0.771932;-0.589282;-0.094212;0.219074;0.001502;1.594251;0.291957;0.744482;-0.580380;-0.091652;0.317026;84;0.081575;1.476387;0.287100;0.636371;-0.481501;-0.413382;-0.438525
NA;79734;7;-0.039238;1.680913;0.012636;0.982200;0.179251;0.053903;0.015693;0.025719;1.624788;0.304518;0.814256;-0.018279;-0.554668;-0.170283;0.056812;1.576382;0.284155;0.702863;-0.420916;-0.426642;-0.383132;0.059510;1.515486;0.280999;0.635874;-0.483334;-0.414105;-0.436543;0.045873;1.612634;0.295268;0.793382;-0.144308;-0.544322;-0.231157;0.005263;1.630801;0.313903;0.814256;-0.018279;-0.554668;-0.170283;0.019634;1.568650;0.316593;0.322350;0.780544;-0.348235;0.406909;0.067861;1.573264;0.304371;0.787500;-0.130100;-0.551939;-0.241414;0.067956;1.511242;0.295629;0.635874;-0.483334;-0.414105;-0.436543;0.031839;1.594319;0.320310;0.612340;0.510002;-0.552031;0.245357;0.029485;1.547476;0.305154;0.322350;0.780544;-0.348235;0.406909;0.074580;1.524748;0.295443;0.635874;-0.483334;-0.414105;-0.436543;0.029556;1.544369;0.337342;0.192028;0.707285;-0.542781;0.410197;0.069269;1.547547;0.340104;0.716255;-0.016261;-0.634520;-0.289996;0.074826;1.505651;0.318425;0.592140;-0.309243;-0.419692;-0.614490;0.040516;1.560055;0.346313;0.514640;0.527309;-0.658924;0.151359;0.036847;1.527746;0.323469;0.192028;0.707285;-0.542781;0.410197;2023/04/27 11:31:18.6134;0.022727;1.553643;0.327504;0.231758;0.751249;-0.431610;0.442297;0.070164;1.562480;0.322990;0.772383;-0.053275;-0.584882;-0.241866;0.075836;1.508191;0.309765;0.635874;-0.483334;-0.414105;-0.436543;0.034550;1.577299;0.335574;0.552920;0.535253;-0.599536;0.219866;0.033119;1.534177;0.314991;0.231758;0.751249;-0.431610;0.442297;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.013857;1.572832;0.284323;0.744187;-0.580188;-0.089752;0.318610;0.047515;1.514680;0.276427;0.618610;-0.718317;-0.124954;0.292795;0.028055;1.542269;0.274290;0.770705;-0.590504;-0.092914;0.220649;0.001129;1.593999;0.291123;0.744187;-0.580188;-0.089752;0.318610;95;0.081299;1.476233;0.286514;0.635874;-0.483334;-0.414105;-0.436543
NA;79735;8;-0.038800;1.680890;0.012627;0.982203;0.179122;0.054193;0.016019;0.025247;1.624563;0.303417;0.814989;-0.018382;-0.554423;-0.167541;0.056433;1.576192;0.283185;0.702850;-0.422208;-0.427157;-0.381155;0.059197;1.515286;0.280315;0.635417;-0.485002;-0.414794;-0.434700;0.045438;1.612464;0.294177;0.794027;-0.144616;-0.544419;-0.228507;0.004776;1.630512;0.312811;0.814989;-0.018382;-0.554423;-0.167541;0.019367;1.568536;0.315715;0.323215;0.780900;-0.345879;0.407547;0.067525;1.573182;0.303393;0.787942;-0.131620;-0.551758;-0.239556;0.067679;1.511121;0.294948;0.635417;-0.485002;-0.414794;-0.434700;0.031505;1.594254;0.319315;0.613406;0.509807;-0.550349;0.246873;0.029279;1.547359;0.304336;0.323215;0.780900;-0.345879;0.407547;0.074287;1.524634;0.294679;0.635417;-0.485002;-0.414794;-0.434700;0.029353;1.544342;0.336547;0.192871;0.708055;-0.540556;0.411409;0.069036;1.547635;0.339244;0.717047;-0.017264;-0.634591;-0.287819;0.074602;1.505645;0.317751;0.592207;-0.310982;-0.420735;-0.612833;0.040264;1.560103;0.345445;0.515699;0.527509;-0.657462;0.153405;0.036697;1.527690;0.322735;0.192871;0.708055;-0.540556;0.411409;2023/04/27 11:31:18.6237;0.022492;1.553588;0.326690;0.232763;0.751771;-0.429646;0.442794;0.069879;1.562488;0.322058;0.773053;-0.054515;-0.584589;-0.240152;0.075591;1.508146;0.309076;0.635417;-0.485002;-0.414794;-0.434700;0.034268;1.577301;0.334659;0.554040;0.535228;-0.598034;0.221193;0.032919;1.534107;0.314228;0.232763;0.751771;-0.429646;0.442794;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.013488;1.572583;0.283523;0.744017;-0.579867;-0.087964;0.320087;0.047192;1.514443;0.275778;0.616973;-0.719261;-0.123972;0.294346;0.027693;1.541999;0.273565;0.769583;-0.591600;-0.091724;0.222120;0.000784;1.593754;0.290357;0.744017;-0.579867;-0.087964;0.320087;106;0.081048;1.476085;0.285965;0.635417;-0.485002;-0.414794;-0.434700
NA;79736;9;-0.038228;1.680941;0.012489;0.982188;0.179171;0.054274;0.016085;0.024346;1.624199;0.303760;0.813813;-0.014560;-0.556397;-0.167090;0.055903;1.576091;0.283461;0.703695;-0.418088;-0.429367;-0.381653;0.058946;1.515211;0.280306;0.636346;-0.481282;-0.416591;-0.435756;0.044650;1.612245;0.294577;0.793352;-0.140602;-0.546502;-0.228384;0.003794;1.630005;0.313065;0.813813;-0.014560;-0.556397;-0.167090;0.018723;1.568044;0.315712;0.318065;0.781884;-0.345378;0.410130;0.066892;1.573028;0.303717;0.787305;-0.127185;-0.553741;-0.239471;0.067361;1.511010;0.294966;0.636346;-0.481282;-0.416591;-0.435756;0.030668;1.593818;0.319546;0.609268;0.512735;-0.551353;0.248807;0.028864;1.547014;0.304260;0.318065;0.781884;-0.345378;0.410130;0.073912;1.524552;0.294804;0.636346;-0.481282;-0.416591;-0.435756;0.028662;1.543774;0.336468;0.187940;0.708874;-0.539879;0.413167;0.068306;1.547310;0.339450;0.715853;-0.012485;-0.636383;-0.287080;0.074176;1.505451;0.317783;0.593071;-0.306844;-0.421593;-0.613492;0.039412;1.559561;0.345515;0.511724;0.530316;-0.657882;0.155225;0.036210;1.527239;0.322627;0.187940;0.708874;-0.539879;0.413167;2023/04/27 11:31:18.6365;0.021857;1.553029;0.326614;0.227281;0.752564;-0.428851;0.445059;0.069184;1.562252;0.322343;0.772076;-0.049839;-0.586513;-0.239622;0.075205;1.507999;0.309127;0.636346;-0.481282;-0.416591;-0.435756;0.033405;1.576779;0.334801;0.549631;0.538249;-0.598619;0.223271;0.032522;1.533705;0.314110;0.227281;0.752564;-0.428851;0.445059;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.012970;1.572268;0.283600;0.746062;-0.576643;-0.091628;0.320125;0.046972;1.514340;0.275693;0.617700;-0.718294;-0.128156;0.293388;0.027358;1.541815;0.273503;0.770873;-0.589301;-0.095593;0.222126;0.000171;1.593328;0.290597;0.746062;-0.576643;-0.091628;0.320125;118;0.080932;1.476077;0.285890;0.636346;-0.481282;-0.416591;-0.435756
NA;79737;10;-0.037732;1.681156;0.012415;0.982163;0.179222;0.054606;0.015897;0.024976;1.624217;0.303306;0.814430;-0.015992;-0.555273;-0.167690;0.056383;1.576025;0.282970;0.703716;-0.419421;-0.428182;-0.381485;0.059309;1.515136;0.279918;0.636147;-0.482749;-0.415664;-0.435310;0.045230;1.612213;0.294078;0.793827;-0.141920;-0.545354;-0.228661;0.004466;1.630084;0.312665;0.814430;-0.015992;-0.555273;-0.167690;0.019294;1.568093;0.315330;0.319096;0.782081;-0.345002;0.409270;0.067422;1.572976;0.303202;0.787744;-0.128657;-0.552732;-0.239570;0.067760;1.510944;0.294561;0.636147;-0.482749;-0.415664;-0.435310;0.031280;1.593858;0.319097;0.610498;0.512284;-0.550699;0.248170;0.029393;1.547043;0.303879;0.319096;0.782081;-0.345002;0.409270;0.074335;1.524474;0.294348;0.636147;-0.482749;-0.415664;-0.435310;0.029249;1.543808;0.336085;0.188914;0.709103;-0.539371;0.412993;0.068889;1.547314;0.338972;0.716457;-0.013753;-0.635752;-0.286915;0.074629;1.505410;0.317357;0.592867;-0.308522;-0.421019;-0.613242;0.040023;1.559605;0.345086;0.512813;0.529963;-0.657341;0.155128;0.036776;1.527252;0.322257;0.188914;0.709103;-0.539371;0.412993;2023/04/27 11:31:18.6492;0.022445;1.553080;0.326241;0.228073;0.752908;-0.428392;0.444515;0.069746;1.562226;0.321838;0.772642;-0.051201;-0.585567;-0.239821;0.075638;1.507942;0.308694;0.636147;-0.482749;-0.415664;-0.435310;0.034027;1.576833;0.334375;0.550692;0.538006;-0.598031;0.222815;0.033086;1.533744;0.313735;0.228073;0.752908;-0.428392;0.444515;4e9de74f-2efb-4c0d-b50f-1669e768f6cd;0.013376;1.572218;0.283373;0.746922;-0.575202;-0.089478;0.321317;0.047316;1.514278;0.275351;0.617636;-0.718042;-0.126622;0.294803;0.027703;1.541758;0.273212;0.771113;-0.588849;-0.093663;0.223316;0.000638;1.593280;0.290474;0.746922;-0.575202;-0.089478;0.321317;131;0.081248;1.475972;0.285494;0.636147;-0.482749;-0.415664;-0.435310
